cusip,year,ikb,ikn,qb,qn,d75,d76,d77,d78,d79,d80,d81,d82,d83,d84,d85,ikb_1,ikn_1,qb_1,qn_1,cikb,cikn,cqb,cqn,cikb_1,cqb_1,cikb_2
9158,78,.2104464,.2139716,.502631,.5006298,0,0,0,1,0,0,0,0,0,0,0,.1621619,.1815764,1.472674,1.598046,.0482845,.0323952,-.9700434,-1.097416,-.0482199,-.3628701,-.0520465
9158,79,.2052542,.2186634,.0922225,.0483713,0,0,0,0,1,0,0,0,0,0,0,.2104464,.2139716,.502631,.5006298,-.0051922,.0046918,-.4104085,-.4522584,.0482845,-.9700434,-.0482199
9158,80,.2454032,.2549877,.4400116,.4404841,0,0,0,0,0,1,0,0,0,0,0,.2052542,.2186634,.0922225,.0483713,.040149,.0363243,.347789,.3921127,-.0051922,-.4104085,.0482845
9158,81,.1904472,.1920602,.3178294,.3094337,0,0,0,0,0,0,1,0,0,0,0,.2454032,.2549877,.4400116,.4404841,-.054956,-.0629275,-.1221822,-.1310503,.040149,.347789,-.0051922
9158,82,.2152868,.2202337,-.1481653,-.2004421,0,0,0,0,0,0,0,1,0,0,0,.1904472,.1920602,.3178294,.3094337,.0248396,.0281735,-.4659947,-.5098759,-.054956,-.1221822,.040149
9158,83,.104358,.1271541,-.1932498,-.2508154,0,0,0,0,0,0,0,0,1,0,0,.2152868,.2202337,-.1481653,-.2004421,-.1109288,-.0930796,-.0450846,-.0503733,.0248396,-.4659947,-.054956
9158,84,.1174431,.1362601,.0045243,-.0266493,0,0,0,0,0,0,0,0,0,1,0,.104358,.1271541,-.1932498,-.2508154,.0130851,.0091061,.1977741,.2241662,-.1109288,-.0450846,.0248396
9158,85,.188824,.191845,-.0139329,-.0411799,0,0,0,0,0,0,0,0,0,0,1,.1174431,.1362601,.0045243,-.0266493,.0713809,.0555849,-.0184572,-.0145306,.0130851,.1977741,-.1109288
13716,75,.07118,.072057,-.7456804,-1.170981,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
13716,76,.0320092,.0479571,-.8487076,-1.282646,0,1,0,0,0,0,0,0,0,0,0,.07118,.072057,-.7456804,-1.170981,-.0391708,-.0240999,-.1030272,-.1116654,,,
13716,77,.0937517,.0763472,-.8096566,-1.206401,0,0,1,0,0,0,0,0,0,0,0,.0320092,.0479571,-.8487076,-1.282646,.0617425,.0283901,.0390509,.0762452,-.0391708,-.1030272,
13716,78,.0794556,.0949985,-.9157791,-1.381983,0,0,0,1,0,0,0,0,0,0,0,.0937517,.0763472,-.8096566,-1.206401,-.0142961,.0186513,-.1061224,-.1755817,.0617425,.0390509,-.0391708
13716,79,.1238905,.1214637,-.8967852,-1.307272,0,0,0,0,1,0,0,0,0,0,0,.0794556,.0949985,-.9157791,-1.381983,.0444349,.0264652,.0189939,.0747107,-.0142961,-.1061224,.0617425
13716,80,.166041,.1519142,-.8340975,-1.211031,0,0,0,0,0,1,0,0,0,0,0,.1238905,.1214637,-.8967852,-1.307272,.0421505,.0304505,.0626877,.0962412,.0444349,.0189939,-.0142961
13716,81,.1580945,.1577361,-.6390595,-.9592712,0,0,0,0,0,0,1,0,0,0,0,.166041,.1519142,-.8340975,-1.211031,-.0079465,.0058219,.195038,.2517596,.0421505,.0626877,.0444349
13716,82,.0577517,.0898631,-.7909676,-1.151977,0,0,0,0,0,0,0,1,0,0,0,.1580945,.1577361,-.6390595,-.9592712,-.1003428,-.067873,-.151908,-.1927056,-.0079465,.195038,.0421505
13716,83,.0207059,.0526059,-.6044229,-.8630497,0,0,0,0,0,0,0,0,1,0,0,.0577517,.0898631,-.7909676,-1.151977,-.0370458,-.0372572,.1865447,.2889271,-.1003428,-.151908,-.0079465
13716,84,.064534,.0702297,-.3427712,-.5103474,0,0,0,0,0,0,0,0,0,1,0,.0207059,.0526059,-.6044229,-.8630497,.0438281,.0176238,.2616516,.3527024,-.0370458,.1865447,-.1003428
13716,85,.0730713,.0935142,-.5773655,-.8172132,0,0,0,0,0,0,0,0,0,0,1,.064534,.0702297,-.3427712,-.5103474,.0085373,.0232845,-.2345943,-.3068658,.0438281,.2616516,-.0370458
17372,75,.0505352,.1256986,-.8705321,-1.831264,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
17372,76,.0566237,.1259468,-.9023533,-1.656888,0,1,0,0,0,0,0,0,0,0,0,.0505352,.1256986,-.8705321,-1.831264,.0060885,.0002482,-.0318212,.1743759,,,
17372,77,.3377283,.3173017,-.8077261,-1.382988,0,0,1,0,0,0,0,0,0,0,0,.0566237,.1259468,-.9023533,-1.656888,.2811046,.1913549,.0946271,.2739009,.0060885,-.0318212,
17372,78,.0180144,.112845,-.889054,-1.588475,0,0,0,1,0,0,0,0,0,0,0,.3377283,.3173017,-.8077261,-1.382988,-.3197139,-.2044567,-.0813279,-.2054876,.2811046,.0946271,.0060885
17372,79,.0813817,.1007301,-1.122694,-1.694382,0,0,0,0,1,0,0,0,0,0,0,.0180144,.112845,-.889054,-1.588475,.0633673,-.0121149,-.2336405,-.1059064,-.3197139,-.0813279,.2811046
17372,80,.2272959,.2095263,-1.18224,-1.720549,0,0,0,0,0,1,0,0,0,0,0,.0813817,.1007301,-1.122694,-1.694382,.1459142,.1087962,-.0595453,-.0261673,.0633673,-.2336405,-.3197139
17372,81,.3390497,.2053639,-1.012026,-1.529711,0,0,0,0,0,0,1,0,0,0,0,.2272959,.2095263,-1.18224,-1.720549,.1117538,-.0041624,.1702138,.190838,.1459142,-.0595453,.0633673
17372,82,-.0645578,.0584018,-.8435169,-1.652099,0,0,0,0,0,0,0,1,0,0,0,.3390497,.2053639,-1.012026,-1.529711,-.4036075,-.1469621,.1685091,-.1223879,.1117538,.1702138,.1459142
17372,83,-.0088102,.0455939,-.9769207,-1.630263,0,0,0,0,0,0,0,0,1,0,0,-.0645578,.0584018,-.8435169,-1.652099,.0557476,-.0128079,-.1334038,.0218359,-.4036075,.1685091,.1117538
17372,84,-.008772,.0459867,-.9133154,-1.486837,0,0,0,0,0,0,0,0,0,1,0,-.0088102,.0455939,-.9769207,-1.630263,.0000382,.0003928,.0636052,.1434262,.0557476,-.1334038,-.4036075
17372,85,.0135207,.0596809,-.9507753,-1.490531,0,0,0,0,0,0,0,0,0,0,1,-.008772,.0459867,-.9133154,-1.486837,.0222927,.0136942,-.0374599,-.0036944,.0000382,.0636052,.0557476
19411,75,.0718014,.270288,-.0849183,-1.101577,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
19411,76,.0113871,.0912915,-.2387594,-1.084715,0,1,0,0,0,0,0,0,0,0,0,.0718014,.270288,-.0849183,-1.101577,-.0604143,-.1789965,-.153841,.0168614,,,
19411,77,.1159218,.0622402,-.3285239,-1.204169,0,0,1,0,0,0,0,0,0,0,0,.0113871,.0912915,-.2387594,-1.084715,.1045347,-.0290513,-.0897645,-.1194534,-.0604143,-.153841,
19411,78,.0144081,.0618446,-.2283381,-1.15773,0,0,0,1,0,0,0,0,0,0,0,.1159218,.0622402,-.3285239,-1.204169,-.1015137,-.0003956,.1001858,.0464385,.1045347,-.0897645,-.0604143
19411,79,.0666091,.086109,-.3875238,-1.415349,0,0,0,0,1,0,0,0,0,0,0,.0144081,.0618446,-.2283381,-1.15773,.052201,.0242644,-.1591857,-.2576184,-.1015137,.1001858,.1045347
19411,80,-.1186267,.0752591,-.2511286,-1.083927,0,0,0,0,0,1,0,0,0,0,0,.0666091,.086109,-.3875238,-1.415349,-.1852358,-.0108499,.1363952,.3314216,.052201,-.1591857,-.1015137
19411,81,.0442102,.0345404,-.630191,-1.515763,0,0,0,0,0,0,1,0,0,0,0,-.1186267,.0752591,-.2511286,-1.083927,.1628369,-.0407187,-.3790624,-.4318359,-.1852358,.1363952,.052201
19411,82,-.0924968,.0453508,-.6452552,-1.604147,0,0,0,0,0,0,0,1,0,0,0,.0442102,.0345404,-.630191,-1.515763,-.136707,.0108104,-.0150642,-.0883838,.1628369,-.3790624,-.1852358
19411,83,.040178,.0609994,-.8303667,-1.71301,0,0,0,0,0,0,0,0,1,0,0,-.0924968,.0453508,-.6452552,-1.604147,.1326748,.0156486,-.1851115,-.1088637,-.136707,-.0150642,.1628369
19411,84,.2414536,.2120478,-.6196668,-1.416855,0,0,0,0,0,0,0,0,0,1,0,.040178,.0609994,-.8303667,-1.71301,.2012756,.1510483,.2107,.2961552,.1326748,-.1851115,-.136707
19411,85,.3840865,.2293678,-.2008759,-.8086948,0,0,0,0,0,0,0,0,0,0,1,.2414536,.2120478,-.6196668,-1.416855,.1426329,.0173201,.4187909,.6081604,.2012756,.2107,.1326748
19519,75,.0854366,.0765544,-.3819163,-.894649,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
19519,76,.0565969,.082976,.1410775,-.0527841,0,1,0,0,0,0,0,0,0,0,0,.0854366,.0765544,-.3819163,-.894649,-.0288397,.0064216,.5229937,.8418648,,,
19519,77,.0884035,.1110142,-.0283515,-.3237913,0,0,1,0,0,0,0,0,0,0,0,.0565969,.082976,.1410775,-.0527841,.0318066,.0280383,-.169429,-.2710072,-.0288397,.5229937,
19519,78,.103029,.1270401,-.2558862,-.6708578,0,0,0,1,0,0,0,0,0,0,0,.0884035,.1110142,-.0283515,-.3237913,.0146255,.0160259,-.2275347,-.3470665,.0318066,-.169429,-.0288397
19519,79,.1329982,.1822047,-.2732617,-.6519294,0,0,0,0,1,0,0,0,0,0,0,.103029,.1270401,-.2558862,-.6708578,.0299692,.0551645,-.0173755,.0189283,.0146255,-.2275347,.0318066
19519,80,.0941593,.1256707,-.3671934,-.7160453,0,0,0,0,0,1,0,0,0,0,0,.1329982,.1822047,-.2732617,-.6519294,-.0388389,-.0565339,-.0939317,-.0641158,.0299692,-.0173755,.0146255
19519,81,.3073366,.2885086,-.5996271,-.9979885,0,0,0,0,0,0,1,0,0,0,0,.0941593,.1256707,-.3671934,-.7160453,.2131773,.1628378,-.2324337,-.2819433,-.0388389,-.0939317,.0299692
19519,82,.0746829,.0864651,-.2863092,-.5855845,0,0,0,0,0,0,0,1,0,0,0,.3073366,.2885086,-.5996271,-.9979885,-.2326537,-.2020435,.3133179,.412404,.2131773,-.2324337,-.0388389
19519,83,.1092415,.0935916,.0085795,-.1592239,0,0,0,0,0,0,0,0,1,0,0,.0746829,.0864651,-.2863092,-.5855845,.0345586,.0071266,.2948887,.4263606,-.2326537,.3133179,.2131773
19519,84,.0920479,.08493,.1675776,.063255,0,0,0,0,0,0,0,0,0,1,0,.1092415,.0935916,.0085795,-.1592239,-.0171936,-.0086616,.1589981,.2224789,.0345586,.2948887,-.2326537
19519,85,.0848664,.1053479,.1300352,-.0143485,0,0,0,0,0,0,0,0,0,0,1,.0920479,.08493,.1675776,.063255,-.0071815,.0204179,-.0375424,-.0776035,-.0171936,.1589981,.0345586
19645,75,.0268925,.1020558,-1.187122,-2.829062,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
19645,76,.101339,.1454074,-1.187225,-2.516043,0,1,0,0,0,0,0,0,0,0,0,.0268925,.1020558,-1.187122,-2.829062,.0744465,.0433516,-.0001026,.3130195,,,
19645,77,.1627412,.1712726,-.8659531,-1.862912,0,0,1,0,0,0,0,0,0,0,0,.101339,.1454074,-1.187225,-2.516043,.0614022,.0258652,.3212714,.6531312,.0744465,-.0001026,
19645,78,.2147683,.2376273,-.7876998,-1.739753,0,0,0,1,0,0,0,0,0,0,0,.1627412,.1712726,-.8659531,-1.862912,.0520271,.0663547,.0782533,.1231591,.0614022,.3212714,.0744465
19645,79,.0557589,.0970549,-.6622548,-1.450029,0,0,0,0,1,0,0,0,0,0,0,.2147683,.2376273,-.7876998,-1.739753,-.1590094,-.1405724,.125445,.2897234,.0520271,.0782533,.0614022
19645,80,.0052826,.0719238,-.7382603,-1.480765,0,0,0,0,0,1,0,0,0,0,0,.0557589,.0970549,-.6622548,-1.450029,-.0504763,-.0251312,-.0760056,-.0307355,-.1590094,.125445,.0520271
19645,81,.0157249,.0542709,-.8376486,-1.496648,0,0,0,0,0,0,1,0,0,0,0,.0052826,.0719238,-.7382603,-1.480765,.0104423,-.0176529,-.0993882,-.0158828,-.0504763,-.0760056,-.1590094
19645,82,-.0605996,.0364416,-1.296573,-2.107167,0,0,0,0,0,0,0,1,0,0,0,.0157249,.0542709,-.8376486,-1.496648,-.0763245,-.0178292,-.4589241,-.6105199,.0104423,-.0993882,-.0504763
19645,83,-.0260996,.0195375,-1.153023,-1.699431,0,0,0,0,0,0,0,0,1,0,0,-.0605996,.0364416,-1.296573,-2.107167,.0345,-.0169042,.1435502,.4077367,-.0763245,-.4589241,.0104423
19645,84,.0482389,.0240658,-.7936627,-1.178305,0,0,0,0,0,0,0,0,0,1,0,-.0260996,.0195375,-1.153023,-1.699431,.0743385,.0045283,.3593599,.5211256,.0345,.1435502,-.0763245
19645,85,-.1217629,.0168675,-.565042,-.9427351,0,0,0,0,0,0,0,0,0,0,1,.0482389,.0240658,-.7936627,-1.178305,-.1700018,-.0071983,.2286206,.2355702,.0743385,.3593599,.0345
22249,75,.1145607,.1196786,-.7580152,-1.027951,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
22249,76,.0567782,.0719312,-.5920501,-.8051187,0,1,0,0,0,0,0,0,0,0,0,.1145607,.1196786,-.7580152,-1.027951,-.0577825,-.0477474,.1659651,.2228324,,,
22249,77,.0748912,.0782903,-.3622439,-.5161894,0,0,1,0,0,0,0,0,0,0,0,.0567782,.0719312,-.5920501,-.8051187,.018113,.006359,.2298062,.2889293,-.0577825,.1659651,
22249,78,.0821039,.0889583,-.6502686,-.8584059,0,0,0,1,0,0,0,0,0,0,0,.0748912,.0782903,-.3622439,-.5161894,.0072127,.010668,-.2880248,-.3422166,.018113,.2298062,-.0577825
22249,79,.0874152,.0963982,-.7554874,-.9662896,0,0,0,0,1,0,0,0,0,0,0,.0821039,.0889583,-.6502686,-.8584059,.0053113,.0074399,-.1052188,-.1078837,.0072127,-.2880248,.018113
22249,80,.1125146,.1267726,-.8755358,-1.086891,0,0,0,0,0,1,0,0,0,0,0,.0874152,.0963982,-.7554874,-.9662896,.0250994,.0303744,-.1200484,-.1206013,.0053113,-.1052188,.0072127
22249,81,.1257922,.1174131,-.9339114,-1.124208,0,0,0,0,0,0,1,0,0,0,0,.1125146,.1267726,-.8755358,-1.086891,.0132776,-.0093595,-.0583756,-.0373168,.0250994,-.1200484,.0053113
22249,82,.0376996,.0800005,-1.02394,-1.241497,0,0,0,0,0,0,0,1,0,0,0,.1257922,.1174131,-.9339114,-1.124208,-.0880926,-.0374126,-.0900283,-.1172893,.0132776,-.0583756,.0250994
22249,83,.0526075,.0678505,-.8307161,-.9576521,0,0,0,0,0,0,0,0,1,0,0,.0376996,.0800005,-1.02394,-1.241497,.0149079,-.01215,.1932237,.2838449,-.0880926,-.0900283,.0132776
22249,84,.0998429,.0981212,-.5192908,-.6042107,0,0,0,0,0,0,0,0,0,1,0,.0526075,.0678505,-.8307161,-.9576521,.0472354,.0302707,.3114253,.3534414,.0149079,.1932237,-.0880926
22249,85,.0681501,.0877282,-.7079126,-.8245182,0,0,0,0,0,0,0,0,0,0,1,.0998429,.0981212,-.5192908,-.6042107,-.0316928,-.010393,-.1886218,-.2203075,.0472354,.3114253,.0149079
24069,75,.1117514,.1257748,-1.052438,-1.458136,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
24069,76,.1310455,.1565673,-.8573018,-1.17766,0,1,0,0,0,0,0,0,0,0,0,.1117514,.1257748,-1.052438,-1.458136,.0192941,.0307925,.1951366,.2804755,,,
24069,77,.1403647,.1602463,-.7854393,-1.05905,0,0,1,0,0,0,0,0,0,0,0,.1310455,.1565673,-.8573018,-1.17766,.0093192,.003679,.0718625,.1186101,.0192941,.1951366,
24069,78,.1482805,.1484673,-.8018185,-1.054934,0,0,0,1,0,0,0,0,0,0,0,.1403647,.1602463,-.7854393,-1.05905,.0079158,-.011779,-.0163792,.0041163,.0093192,.0718625,.0192941
24069,79,.1124485,.1138153,-.8274081,-1.087387,0,0,0,0,1,0,0,0,0,0,0,.1482805,.1484673,-.8018185,-1.054934,-.035832,-.034652,-.0255896,-.0324526,.0079158,-.0163792,.0093192
24069,80,.0796293,.0832149,-.7137929,-.949671,0,0,0,0,0,1,0,0,0,0,0,.1124485,.1138153,-.8274081,-1.087387,-.0328192,-.0306003,.1136152,.1377156,-.035832,-.0255896,.0079158
24069,81,-.0579377,.0575617,-.809912,-1.061898,0,0,0,0,0,0,1,0,0,0,0,.0796293,.0832149,-.7137929,-.949671,-.137567,-.0256532,-.0961191,-.1122274,-.0328192,.1136152,-.035832
24069,82,.067814,.076841,-.980791,-1.07593,0,0,0,0,0,0,0,1,0,0,0,-.0579377,.0575617,-.809912,-1.061898,.1257517,.0192793,-.170879,-.0140315,-.137567,-.0961191,-.0328192
24069,83,.0536063,.059807,-.9694967,-1.053881,0,0,0,0,0,0,0,0,1,0,0,.067814,.076841,-.980791,-1.07593,-.0142077,-.017034,.0112943,.022049,.1257517,-.170879,-.137567
24069,84,.0820686,.0955392,-.8733813,-.9521974,0,0,0,0,0,0,0,0,0,1,0,.0536063,.059807,-.9694967,-1.053881,.0284623,.0357322,.0961154,.1016836,-.0142077,.0112943,.1257517
24069,85,.1874555,.1958123,-.8897151,-.9584477,0,0,0,0,0,0,0,0,0,0,1,.0820686,.0955392,-.8733813,-.9521974,.1053869,.1002731,-.0163338,-.0062503,.0284623,.0961154,-.0142077
24703,75,.0566249,.1472043,-.1191202,-1.689634,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
24703,76,.0750962,.1451008,.0522735,-.887665,0,1,0,0,0,0,0,0,0,0,0,.0566249,.1472043,-.1191202,-1.689634,.0184713,-.0021035,.1713938,.8019691,,,
24703,77,.0784928,.1181524,.1726493,-.4721088,0,0,1,0,0,0,0,0,0,0,0,.0750962,.1451008,.0522735,-.887665,.0033966,-.0269484,.1203758,.4155563,.0184713,.1713938,
24703,78,.0376754,.1357181,-.0361515,-1.097288,0,0,0,1,0,0,0,0,0,0,0,.0784928,.1181524,.1726493,-.4721088,-.0408174,.0175657,-.2088009,-.6251794,.0033966,.1203758,.0184713
24703,79,.1009567,.1445054,.0069521,-.7554069,0,0,0,0,1,0,0,0,0,0,0,.0376754,.1357181,-.0361515,-1.097288,.0632813,.0087873,.0431036,.3418812,-.0408174,-.2088009,.0033966
24703,80,.111799,.1826989,-.0026547,-.6791034,0,0,0,0,0,1,0,0,0,0,0,.1009567,.1445054,.0069521,-.7554069,.0108423,.0381935,-.0096067,.0763035,.0632813,.0431036,-.0408174
24703,81,.075626,.136844,.0303023,-.4799823,0,0,0,0,0,0,1,0,0,0,0,.111799,.1826989,-.0026547,-.6791034,-.036173,-.0458549,.032957,.1991212,.0108423,-.0096067,.0632813
24703,82,.0359621,.1148208,-.1248007,-.7937146,0,0,0,0,0,0,0,1,0,0,0,.075626,.136844,.0303023,-.4799823,-.0396639,-.0220232,-.155103,-.3137323,-.036173,.032957,.0108423
24703,83,.0444815,.108094,.1424685,-.1412397,0,0,0,0,0,0,0,0,1,0,0,.0359621,.1148208,-.1248007,-.7937146,.0085194,-.0067269,.2672692,.6524749,-.0396639,-.155103,-.036173
24703,84,.0282028,.1272806,.5591586,.8012235,0,0,0,0,0,0,0,0,0,1,0,.0444815,.108094,.1424685,-.1412397,-.0162787,.0191867,.4166901,.9424632,.0085194,.2672692,-.0396639
24703,85,.0895505,.1280574,.6957449,1.066285,0,0,0,0,0,0,0,0,0,0,1,.0282028,.1272806,.5591586,.8012235,.0613477,.0007768,.1365864,.2650617,-.0162787,.4166901,.0085194
24843,75,.0618036,.0899733,-.6924657,-1.146399,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
24843,76,.0513774,.0770993,-.7062601,-1.09889,0,1,0,0,0,0,0,0,0,0,0,.0618036,.0899733,-.6924657,-1.146399,-.0104262,-.012874,-.0137944,.0475091,,,
24843,77,.1175911,.0832718,-.6365915,-.9783548,0,0,1,0,0,0,0,0,0,0,0,.0513774,.0770993,-.7062601,-1.09889,.0662137,.0061725,.0696686,.1205355,-.0104262,-.0137944,
24843,78,.1314698,.1105648,-.7057847,-1.142904,0,0,0,1,0,0,0,0,0,0,0,.1175911,.0832718,-.6365915,-.9783548,.0138787,.027293,-.0691932,-.1645492,.0662137,.0696686,-.0104262
24843,79,.1135755,.1305822,-.7965562,-1.302225,0,0,0,0,1,0,0,0,0,0,0,.1314698,.1105648,-.7057847,-1.142904,-.0178943,.0200173,-.0907715,-.1593207,.0138787,-.0691932,.0662137
24843,80,.0674028,.1107104,-.8139785,-1.283344,0,0,0,0,0,1,0,0,0,0,0,.1135755,.1305822,-.7965562,-1.302225,-.0461727,-.0198718,-.0174223,.0188804,-.0178943,-.0907715,.0138787
24843,81,.0326664,.0694845,-.941625,-1.364465,0,0,0,0,0,0,1,0,0,0,0,.0674028,.1107104,-.8139785,-1.283344,-.0347364,-.0412258,-.1276465,-.0811208,-.0461727,-.0174223,-.0178943
24843,82,-.0145247,.0613864,-.9473273,-1.30166,0,0,0,0,0,0,0,1,0,0,0,.0326664,.0694845,-.941625,-1.364465,-.0471911,-.0080981,-.0057023,.0628052,-.0347364,-.1276465,-.0461727
24843,83,.0189482,.0496831,-1.082487,-1.338552,0,0,0,0,0,0,0,0,1,0,0,-.0145247,.0613864,-.9473273,-1.30166,.0334729,-.0117033,-.1351599,-.0368922,-.0471911,-.0057023,-.0347364
24843,84,.0087178,.0424384,-.992633,-1.203195,0,0,0,0,0,0,0,0,0,1,0,.0189482,.0496831,-1.082487,-1.338552,-.0102304,-.0072447,.0898542,.1353574,.0334729,-.1351599,-.0471911
24843,85,.0491129,.0460748,-1.028851,-1.208353,0,0,0,0,0,0,0,0,0,0,1,.0087178,.0424384,-.992633,-1.203195,.0403951,.0036364,-.0362181,-.0051583,-.0102304,.0898542,.0334729
25321,75,.1420406,.1911893,-.0109462,-.2206374,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
25321,76,.1812623,.1887255,.1170222,-.00835,0,1,0,0,0,0,0,0,0,0,0,.1420406,.1911893,-.0109462,-.2206374,.0392217,-.0024638,.1279685,.2122875,,,
25321,77,.1660225,.1703743,.2175425,.1173918,0,0,1,0,0,0,0,0,0,0,0,.1812623,.1887255,.1170222,-.00835,-.0152398,-.0183512,.1005203,.1257418,.0392217,.1279685,
25321,78,.1468763,.1607589,.0735768,-.0819814,0,0,0,1,0,0,0,0,0,0,0,.1660225,.1703743,.2175425,.1173918,-.0191462,-.0096154,-.1439657,-.1993733,-.0152398,.1005203,.0392217
