id,period,lfp,black,educ,age,agesq,kids,hinc,per1,per2,per3,per4,per5,lhinc
21,5,1,0,12,46,2116,0,3922.441,0,0,0,0,1,8.274469
22,1,1,0,18,43,1849,2,3089.044,1,0,0,0,0,8.035617
22,2,1,0,18,43,1849,2,2954.655,0,1,0,0,0,7.991137
22,3,1,0,18,43,1849,2,2875.79,0,0,1,0,0,7.964083
22,4,1,0,18,43,1849,2,2846.011,0,0,0,1,0,7.953674
22,5,1,0,18,43,1849,2,2816.844,0,0,0,0,1,7.943372
23,1,0,0,10,51,2601,0,4036.01,1,0,0,0,0,8.303012
23,2,0,0,10,51,2601,0,5083.917,0,1,0,0,0,8.533837
23,3,0,0,10,51,2601,0,5968.438,0,0,1,0,0,8.694241
23,4,0,0,10,51,2601,0,4521.251,0,0,0,1,0,8.416544
23,5,0,0,10,51,2601,0,3109.162,0,0,0,0,1,8.042109
24,1,1,1,14,25,625,2,1096.655,1,0,0,0,0,7.00002
24,2,1,1,14,25,625,2,1207.391,0,1,0,0,0,7.096217
24,3,1,1,14,25,625,2,1076.929,0,0,1,0,0,6.981869
24,4,1,1,14,25,625,2,969.5847,0,0,0,1,0,6.876868
24,5,1,1,14,25,625,2,864.9263,0,0,0,0,1,6.762644
25,1,1,0,12,29,841,1,3924.08,1,0,0,0,0,8.274887
25,2,1,0,12,29,841,1,4299.343,0,1,0,0,0,8.366218
25,3,1,0,12,29,841,1,4185.946,0,0,1,0,0,8.339488
25,4,1,0,12,29,841,1,4369.615,0,0,0,1,0,8.38243
25,5,1,0,12,29,841,1,4096.422,0,0,0,0,1,8.317869
26,1,1,0,12,39,1521,1,1726.418,1,0,0,0,0,7.453804
26,2,1,0,12,39,1521,1,1809.403,0,1,0,0,0,7.500752
26,3,1,0,12,39,1521,1,998.3211,0,0,1,0,0,6.906075
26,4,0,0,12,39,1521,1,1152.096,0,0,0,1,0,7.049338
26,5,0,0,12,39,1521,1,863.6566,0,0,0,0,1,6.761175
27,1,1,0,14,36,1296,1,927.2705,1,0,0,0,0,6.832245
27,2,1,0,14,36,1296,1,1879.061,0,1,0,0,0,7.538527
27,3,1,0,14,36,1296,1,1934.125,0,0,1,0,0,7.56741
27,4,1,0,14,36,1296,1,2126.775,0,0,0,1,0,7.662362
27,5,1,0,14,36,1296,1,1683.982,0,0,0,0,1,7.428916
28,1,1,0,12,45,2025,3,3244.526,1,0,0,0,0,8.084724
28,2,1,0,12,45,2025,3,5153.292,0,1,0,0,0,8.547391
28,3,1,0,12,45,2025,3,4195.126,0,0,1,0,0,8.341679
28,4,1,0,12,45,2025,3,4371.615,0,0,0,1,0,8.382888
28,5,1,0,12,45,2025,3,4096.867,0,0,0,0,1,8.317978
29,1,1,0,13,52,2704,0,1381.135,1,0,0,0,0,7.230661
29,2,1,0,13,52,2704,0,739.1971,0,1,0,0,0,6.605565
29,3,1,0,13,52,2704,0,1517.02,0,0,1,0,0,7.324503
29,4,1,0,13,52,2704,0,1946.463,0,0,0,1,0,7.573769
29,5,1,0,13,52,2704,0,2664.861,0,0,0,0,1,7.887907
30,1,0,0,12,40,1600,4,5339.283,1,0,0,0,0,8.582847
30,2,0,0,12,40,1600,4,8276.01,0,1,0,0,0,9.021116
30,3,0,0,12,40,1600,4,8139.936,0,0,1,0,0,9.004538
30,4,0,0,12,40,1600,4,8055.644,0,0,0,1,0,8.994128
30,5,0,0,12,40,1600,4,7973.084,0,0,0,0,1,8.983827
31,1,0,0,12,55,3025,0,3447.474,1,0,0,0,0,8.145397
31,2,0,0,12,55,3025,0,4137.506,0,1,0,0,0,8.327848
31,3,0,0,12,55,3025,0,4066.544,0,0,1,0,0,8.310549
31,4,0,0,12,55,3025,0,4220.676,0,0,0,1,0,8.347751
31,5,0,0,12,55,3025,0,4209.951,0,0,0,0,1,8.345206
32,1,1,0,12,20,400,0,2027.929,1,0,0,0,0,7.61477
32,2,1,0,12,20,400,0,1986.322,0,1,0,0,0,7.59404
32,3,0,0,12,20,400,0,1953.662,0,0,1,0,0,7.577461
32,4,0,0,12,20,400,0,1691.753,0,0,0,1,0,7.433521
32,5,0,0,12,20,400,0,1435.213,0,0,0,0,1,7.269068
33,1,0,0,12,41,1681,3,1579.419,1,0,0,0,0,7.364812
33,2,0,0,12,41,1681,3,2201.053,0,1,0,0,0,7.696691
33,3,0,0,12,41,1681,3,1325.316,0,0,1,0,0,7.189406
33,4,0,0,12,41,1681,2,1801.966,0,0,0,1,0,7.496634
33,5,0,0,12,41,1681,2,2988.25,0,0,0,0,1,8.002443
34,1,0,0,15,31,961,1,3148.174,1,0,0,0,0,8.054578
34,2,1,0,15,31,961,1,2906.671,0,1,0,0,0,7.974764
34,3,1,0,15,31,961,1,3125.859,0,0,1,0,0,8.047464
34,4,1,0,15,31,961,1,3194.888,0,0,0,1,0,8.069307
34,5,1,0,15,31,961,1,3202.246,0,0,0,0,1,8.071608
35,1,0,0,12,30,900,3,3310.664,1,0,0,0,0,8.104904
35,2,0,0,12,30,900,3,4030.506,0,1,0,0,0,8.301647
35,3,0,0,12,30,900,3,4152.266,0,0,1,0,0,8.331409
35,4,0,0,12,30,900,3,1273.599,0,0,0,1,0,7.149602
35,5,0,0,12,30,900,4,2801.847,0,0,0,0,1,7.938034
36,1,1,0,12,27,729,0,2083.031,1,0,0,0,0,7.641579
36,2,1,0,12,27,729,0,2143.116,0,1,0,0,0,7.670016
36,3,1,0,12,27,729,0,2153.857,0,0,1,0,0,7.675015
36,4,1,0,12,27,729,1,2743.923,0,0,0,1,0,7.917144
36,5,1,0,12,27,729,1,2717.79,0,0,0,0,1,7.907574
37,1,1,0,14,53,2809,0,1320.202,1,0,0,0,0,7.18554
37,2,1,0,14,53,2809,0,1523.497,0,1,0,0,0,7.328763
37,3,1,0,14,53,2809,0,1953.662,0,0,1,0,0,7.577461
37,4,1,0,14,53,2809,0,1249.879,0,0,0,1,0,7.130802
37,5,1,0,14,53,2809,0,1599.683,0,0,0,0,1,7.377561
38,1,0,0,6,36,1296,3,1786.914,1,0,0,0,0,7.488245
38,2,0,0,6,36,1296,3,1881.517,0,1,0,0,0,7.539834
38,3,0,0,6,36,1296,3,1192.454,0,0,1,0,0,7.083769
38,4,0,0,6,36,1296,2,2882.817,0,0,0,1,0,7.966523
38,5,1,0,6,36,1296,2,2958.529,0,0,0,0,1,7.992447
39,1,1,0,16,26,676,0,1994.467,1,0,0,0,0,7.598132
39,2,1,0,16,26,676,0,2085.638,0,1,0,0,0,7.64283
39,3,1,0,16,26,676,0,2031.808,0,0,1,0,0,7.616681
39,4,1,0,16,26,676,0,2287.732,0,0,0,1,0,7.735316
39,5,1,0,16,26,676,1,2383.408,0,0,0,0,1,7.776287
40,1,1,1,16,31,961,2,2158.243,1,0,0,0,0,7.67705
40,2,1,1,16,31,961,2,2683.801,0,1,0,0,0,7.894989
40,3,1,1,16,31,961,2,2003.345,0,0,1,0,0,7.602573
40,4,1,1,16,31,961,2,1990.602,0,0,0,1,0,7.596192
40,5,0,1,16,31,961,2,2790.869,0,0,0,0,1,7.934108
41,1,1,0,15,57,3249,0,6592.179,1,0,0,0,0,8.793639
41,2,1,0,15,57,3249,0,7134.673,0,1,0,0,0,8.872722
41,3,1,0,15,57,3249,0,7448.434,0,0,1,0,0,8.915759
41,4,1,0,15,57,3249,0,5582.866,0,0,0,1,0,8.627458
41,5,1,0,15,57,3249,0,6516.738,0,0,0,0,1,8.782129
42,1,0,0,8,32,1024,3,2928.31,1,0,0,0,0,7.982181
42,2,0,0,8,32,1024,3,2129.889,0,1,0,0,0,7.663825
42,3,0,0,8,32,1024,3,2417.657,0,0,1,0,0,7.790554
42,4,0,0,8,32,1024,3,2386.485,0,0,0,1,0,7.777577
42,5,0,0,8,32,1024,3,2089.809,0,0,0,0,1,7.644828
43,1,1,0,12,36,1296,4,3561.804,1,0,0,0,0,8.178022
43,2,1,0,12,36,1296,3,4607.77,0,1,0,0,0,8.435499
43,3,1,0,12,36,1296,3,4380.843,0,0,1,0,0,8.384996
43,4,1,0,12,36,1296,3,3868.315,0,0,0,1,0,8.260574
43,5,1,0,12,36,1296,2,2433.402,0,0,0,0,1,7.797046
44,1,0,0,18,43,1849,1,6586.052,1,0,0,0,0,8.792709
44,2,0,0,18,43,1849,1,7420.421,0,1,0,0,0,8.911991
44,3,0,0,18,43,1849,1,9790.259,0,0,1,0,0,9.189143
44,4,0,0,18,43,1849,1,8726.258,0,0,0,1,0,9.074092
44,5,0,0,18,43,1849,1,5525.918,0,0,0,0,1,8.617205
45,1,1,0,16,40,1600,2,5629.289,1,0,0,0,0,8.635738
45,2,1,0,16,40,1600,2,6263.334,0,1,0,0,0,8.742468
45,3,1,0,16,40,1600,2,6412.617,0,0,1,0,0,8.766023
45,4,1,0,16,40,1600,1,287.9664,0,0,0,1,0,5.662844
45,5,1,0,16,40,1600,1,457.9301,0,0,0,0,1,6.126717
46,1,0,0,12,46,2116,3,2348.437,1,0,0,0,0,7.761505
46,2,0,0,12,46,2116,2,4527.14,0,1,0,0,0,8.417846
46,3,0,0,12,46,2116,2,4070.455,0,0,1,0,0,8.31151
46,4,0,0,12,46,2116,2,3154.711,0,0,0,1,0,8.056652
46,5,0,0,12,46,2116,2,3885.015,0,0,0,0,1,8.264882
47,1,0,0,10,26,676,2,2787.588,1,0,0,0,0,7.932932
47,2,0,0,10,26,676,2,2980.243,0,1,0,0,0,7.99976
47,3,0,0,10,26,676,2,2474.979,0,0,1,0,0,7.813987
47,4,0,0,10,26,676,2,2425.659,0,0,0,1,0,7.793859
47,5,0,0,10,26,676,2,2421.795,0,0,0,0,1,7.792264
48,1,1,0,12,31,961,1,2534.909,1,0,0,0,0,7.837913
48,2,1,0,12,31,961,1,2731.19,0,1,0,0,0,7.912493
48,3,1,0,12,31,961,1,2361.243,0,0,1,0,0,7.766943
48,4,1,0,12,31,961,2,6017.074,0,0,0,1,0,8.702356
48,5,1,0,12,31,961,2,3528.226,0,0,0,0,1,8.16855
49,1,0,0,12,42,1764,2,7147.653,1,0,0,0,0,8.874539
49,2,0,0,12,42,1764,2,6036.95,0,1,0,0,0,8.705654
49,3,1,0,12,42,1764,2,6363.672,0,0,1,0,0,8.758361
49,4,1,0,12,42,1764,2,5938.704,0,0,0,1,0,8.689246
49,5,0,0,12,42,1764,2,8008.26,0,0,0,0,1,8.988229
50,1,0,0,14,31,961,3,4944.919,1,0,0,0,0,8.506116
50,2,0,0,14,31,961,3,2728.765,0,1,0,0,0,7.911604
50,3,0,0,14,31,961,3,451.7843,0,0,1,0,0,6.113205
50,4,0,0,14,31,961,3,994.7729,0,0,0,1,0,6.902514
50,5,0,0,14,31,961,3,4138.358,0,0,0,0,1,8.328054
51,1,1,0,12,30,900,1,1213.13,1,0,0,0,0,7.100959
51,2,1,0,12,30,900,1,1354.292,0,1,0,0,0,7.211034
51,3,0,0,12,30,900,1,984.928,0,0,1,0,0,6.892569
51,4,1,0,12,30,900,1,1359.435,0,0,0,1,0,7.214824
51,5,0,0,12,30,900,1,1327.241,0,0,0,0,1,7.190857
52,1,0,0,12,47,2209,1,4962.181,1,0,0,0,0,8.509601
52,2,0,0,12,47,2209,1,4474.521,0,1,0,0,0,8.406155
52,3,0,0,12,47,2209,0,6479.809,0,0,1,0,0,8.776446
52,4,0,0,12,47,2209,0,5298.677,0,0,0,1,0,8.575212
52,5,0,0,12,47,2209,1,6874.467,0,0,0,0,1,8.835569
53,1,1,1,16,45,2025,1,3612.247,1,0,0,0,0,8.192085
53,2,1,1,16,45,2025,1,3673.704,0,1,0,0,0,8.208956
53,3,1,1,16,45,2025,1,3174.702,0,0,1,0,0,8.062969
53,4,1,1,16,45,2025,1,3301.335,0,0,0,1,0,8.102082
53,5,1,1,16,45,2025,1,3651.179,0,0,0,0,1,8.202806
54,1,1,1,16,36,1296,1,2031.08,1,0,0,0,0,7.616323
54,2,1,1,16,36,1296,1,1022.347,0,1,0,0,0,6.929856
54,3,1,1,16,36,1296,1,2268.202,0,0,1,0,0,7.726743
54,4,1,1,16,36,1296,1,1936.297,0,0,0,1,0,7.568532
54,5,1,1,16,36,1296,1,1919.237,0,0,0,0,1,7.559683
55,1,1,0,12,52,2704,0,2304.177,1,0,0,0,0,7.742479
55,2,1,0,12,52,2704,0,1800.413,0,1,0,0,0,7.495771
55,3,1,0,12,52,2704,0,3057.219,0,0,1,0,0,8.025261
55,4,0,0,12,52,2704,0,2994.155,0,0,0,1,0,8.004417
55,5,0,0,12,52,2704,0,3063.161,0,0,0,0,1,8.027203
56,1,1,0,12,37,1369,5,3186.891,1,0,0,0,0,8.066801
56,2,1,0,12,37,1369,5,4831.729,0,1,0,0,0,8.48296
56,3,1,0,12,37,1369,5,3247.962,0,0,1,0,0,8.085783
56,4,1,0,12,37,1369,5,2480.594,0,0,0,1,0,7.816253
56,5,1,0,12,37,1369,5,4257.797,0,0,0,0,1,8.356507
57,1,1,0,17,49,2401,0,2851.774,1,0,0,0,0,7.955697
57,2,1,0,17,49,2401,0,2578.743,0,1,0,0,0,7.855057
57,3,1,0,17,49,2401,0,2832.811,0,0,1,0,0,7.949025
57,4,1,0,17,49,2401,0,2610.133,0,0,0,1,0,7.867157
57,5,1,0,17,49,2401,0,2583.381,0,0,0,0,1,7.856854
58,1,1,0,12,38,1444,5,3456.897,1,0,0,0,0,8.148127
58,2,1,0,12,38,1444,5,3531.603,0,1,0,0,0,8.169507
58,3,1,0,12,38,1444,5,2918.281,0,0,1,0,0,7.97875
58,4,1,0,12,38,1444,5,3127.117,0,0,0,1,0,8.047867
58,5,1,0,12,38,1444,5,1727.312,0,0,0,0,1,7.454322
59,1,1,0,12,31,961,3,1713.395,1,0,0,0,0,7.446232
59,2,1,0,12,31,961,3,1775.367,0,1,0,0,0,7.481762
59,3,1,0,12,31,961,3,1355.217,0,0,1,0,0,7.211717
59,4,1,0,12,31,961,3,878.9286,0,0,0,1,0,6.778704
59,5,1,0,12,31,961,3,400.9894,0,0,0,0,1,5.993935
60,1,1,0,14,29,841,3,3446.192,1,0,0,0,0,8.145025
60,2,1,0,14,29,841,3,2263.857,0,1,0,0,0,7.724825
60,3,0,0,14,29,841,3,2349.663,0,0,1,0,0,7.762027
60,4,0,0,14,29,841,3,2908.754,0,0,0,1,0,7.97548
60,5,0,0,14,29,841,3,3363.602,0,0,0,0,1,8.120768
61,1,1,0,10,41,1681,2,4595.32,1,0,0,0,0,8.432794
61,2,1,0,10,41,1681,2,4936.33,0,1,0,0,0,8.504377
61,3,0,0,10,41,1681,2,4053.847,0,0,1,0,0,8.307422
61,4,1,0,10,41,1681,1,4605.964,0,0,0,1,0,8.435107
61,5,1,0,10,41,1681,1,4894.054,0,0,0,0,1,8.495776
62,1,0,0,16,35,1225,2,2907.564,1,0,0,0,0,7.975071
62,2,0,0,16,35,1225,2,3086.391,0,1,0,0,0,8.034758
62,3,0,0,16,35,1225,2,2897.918,0,0,1,0,0,7.971748
62,4,0,0,16,35,1225,2,2836.035,0,0,0,1,0,7.950162
62,5,1,0,16,35,1225,2,4259.284,0,0,0,0,1,8.356856
63,1,1,0,13,40,1600,1,4492.814,1,0,0,0,0,8.410234
63,2,1,0,13,40,1600,1,4427.097,0,1,0,0,0,8.395499
63,3,1,0,13,40,1600,1,4307.716,0,0,1,0,0,8.368163
63,4,1,0,13,40,1600,1,4266.17,0,0,0,1,0,8.358472
63,5,1,0,13,40,1600,1,4228.529,0,0,0,0,1,8.349609
64,1,0,0,16,29,841,1,3452.838,1,0,0,0,0,8.146952
64,2,0,0,16,29,841,1,3407.823,0,1,0,0,0,8.133829
64,3,0,0,16,29,841,1,3692.422,0,0,1,0,0,8.214038
64,4,0,0,16,29,841,2,3456.29,0,0,0,1,0,8.147951
64,5,0,0,16,29,841,2,3627.357,0,0,0,0,1,8.196259
65,1,1,0,12,37,1369,3,5901.272,1,0,0,0,0,8.682923
65,2,1,0,12,37,1369,3,993.1609,0,1,0,0,0,6.900893
65,3,1,0,12,37,1369,3,5120.059,0,0,1,0,0,8.540921
65,4,1,0,12,37,1369,3,1546.745,0,0,0,1,0,7.343908
65,5,1,0,12,37,1369,3,2631.223,0,0,0,0,1,7.875204
66,1,1,0,12,53,2809,0,3383.942,1,0,0,0,0,8.126797
66,2,1,0,12,53,2809,0,2625.382,0,1,0,0,0,7.872982
66,3,1,0,12,53,2809,0,2605.137,0,0,1,0,0,7.865241
66,4,1,0,12,53,2809,0,2329.733,0,0,0,1,0,7.753509
66,5,1,0,12,53,2809,0,2338.336,0,0,0,0,1,7.757195
67,1,1,0,18,35,1225,1,5386.684,1,0,0,0,0,8.591685
67,2,1,0,18,35,1225,1,5586.531,0,1,0,0,0,8.628114
67,3,1,0,18,35,1225,1,5189.417,0,0,1,0,0,8.554377
67,4,1,0,18,35,1225,1,5546.536,0,0,0,1,0,8.620929
67,5,1,0,18,35,1225,1,5812.608,0,0,0,0,1,8.667785
68,1,1,0,16,43,1849,4,3101.211,1,0,0,0,0,8.039548
68,2,1,0,16,43,1849,4,3195.744,0,1,0,0,0,8.069575
68,3,1,0,16,43,1849,4,3279.711,0,0,1,0,0,8.09551
68,4,1,0,16,43,1849,4,3221.098,0,0,0,1,0,8.077477
68,5,1,0,16,43,1849,4,3059.873,0,0,0,0,1,8.026129
69,1,1,0,12,31,961,2,1898.393,1,0,0,0,0,7.548763
69,2,1,0,12,31,961,2,1970.927,0,1,0,0,0,7.586259
69,3,1,0,12,31,961,2,1893.098,0,0,1,0,0,7.54597
69,4,1,0,12,31,961,2,1904.913,0,0,0,1,0,7.552192
69,5,1,0,12,31,961,2,1996.857,0,0,0,0,1,7.59933
70,1,1,1,13,51,2601,1,2193.568,1,0,0,0,0,7.693285
70,2,1,1,13,51,2601,1,2044.694,0,1,0,0,0,7.623003
70,3,1,1,13,51,2601,1,2109.956,0,0,1,0,0,7.654422
70,4,1,1,13,51,2601,1,1975.023,0,0,0,1,0,7.588336
70,5,1,1,13,51,2601,1,1957.622,0,0,0,0,1,7.579486
71,1,1,0,10,35,1225,6,3310.898,1,0,0,0,0,8.104975
71,2,1,0,10,35,1225,6,1760.777,0,1,0,0,0,7.473511
71,3,1,0,10,35,1225,6,3851.735,0,0,1,0,0,8.256279
71,4,1,0,10,35,1225,4,1837.847,0,0,0,1,0,7.51635
71,5,1,0,10,35,1225,4,1297.389,0,0,0,0,1,7.168109
72,1,1,0,17,41,1681,1,2953.19,1,0,0,0,0,7.990641
72,2,1,0,17,41,1681,1,2913.686,0,1,0,0,0,7.977174
72,3,1,0,17,41,1681,1,2839.646,0,0,1,0,0,7.951435
72,4,1,0,17,41,1681,1,2814.406,0,0,0,1,0,7.942506
72,5,1,0,17,41,1681,1,2550.664,0,0,0,0,1,7.844109
73,1,1,0,12,54,2916,0,5587.581,1,0,0,0,0,8.628302
73,2,1,0,12,54,2916,0,6345.068,0,1,0,0,0,8.755433
73,3,1,0,12,54,2916,0,4681.117,0,0,1,0,0,8.451292
73,4,1,0,12,54,2916,0,4081.218,0,0,0,1,0,8.314151
73,5,1,0,12,54,2916,0,3891.842,0,0,0,0,1,8.266638
74,1,1,0,13,20,400,1,1491.034,1,0,0,0,0,7.307225
74,2,1,0,13,20,400,1,1546.351,0,1,0,0,0,7.343653
74,3,0,0,13,20,400,1,1436.429,0,0,1,0,0,7.269916
74,4,0,0,13,20,400,1,1421.555,0,0,0,1,0,7.259507
74,5,0,0,13,20,400,1,1489.749,0,0,0,0,1,7.306363
75,1,1,0,14,31,961,3,2408.859,1,0,0,0,0,7.786909
75,2,1,0,14,31,961,3,2171.233,0,1,0,0,0,7.683051
75,3,1,0,14,31,961,3,2067.218,0,0,1,0,0,7.633959
75,4,1,0,14,31,961,3,2402.458,0,0,0,1,0,7.784248
75,5,1,0,14,31,961,3,3197.448,0,0,0,0,1,8.070108
76,1,1,0,16,38,1444,0,1642.623,1,0,0,0,0,7.404049
76,2,1,0,16,38,1444,0,1608.922,0,1,0,0,0,7.383319
76,3,1,0,16,38,1444,0,1391.985,0,0,1,0,0,7.238486
76,4,1,0,16,38,1444,0,1479.076,0,0,0,1,0,7.299173
