respond,gift,resplast,weekslast,propresp,mailsyear,giftlast,avggift,lgift,lavggift
0,0,0,51.28571,.2,2.5,15,12.5,,2.525729
0,0,0,143,.1,2.5,25,25,,3.218876
0,0,0,120.1429,.1,2.5,25,25,,3.218876
0,0,0,103.8571,.4,2.5,10,6.25,,1.832582
0,0,1,13.14286,.666667,2.25,5,5,,1.609438
0,0,1,13.14286,.5,2.5,5,5,,1.609438
0,0,0,120.1429,.1,2.5,25,25,,3.218876
0,0,0,26.14286,.3,2.5,5,6.666667,,1.89712
0,0,0,51.28571,.4,2.5,5,5,,1.609438
0,0,0,103.8571,.2,2.5,10,10,,2.302585
0,0,0,51.28571,.2,2.5,10,10,,2.302585
0,0,0,120.1429,.2,2.5,10,10,,2.302585
0,0,0,120.1429,.1,2.5,25,25,,3.218876
0,0,0,129.1429,.2,2.5,15,12.5,,2.525729
0,0,0,158,.2,2.5,10,15,,2.70805
0,0,0,77.14286,.6,2.5,5,5,,1.609438
0,0,0,143,.222222,2.25,15,15,,2.70805
0,0,1,13.14286,.3,2.5,10,11.66667,,2.456736
0,0,0,103.8571,.333333,2.25,10,10,,2.302585
0,0,0,51.28571,.222222,2.25,10,10,,2.302585
0,0,0,143,.2,2.5,15,15,,2.70805
0,0,0,65.42857,.3,2.5,10,10,,2.302585
0,0,1,13.14286,.222222,2.25,15,15,,2.70805
0,0,0,65.42857,.2,2.5,10,12.5,,2.525729
0,0,0,143,.222222,2.25,10,15,,2.70805
0,0,0,129.1429,.2,2.5,15,12.5,,2.525729
0,0,0,65.42857,.5,2.5,5,5.4,,1.686399
0,0,0,51.28571,.5,2.5,5,5.4,,1.686399
1,5,0,103.8571,.3,2.5,7,7,1.609438,1.94591
0,0,0,51.28571,.4,2.5,5,6.25,,1.832582
0,0,1,13.14286,.3,2.5,10,8.333333,,2.120264
0,0,0,143,.3,2.5,10,10,,2.302585
0,0,1,13.14286,.222222,2.25,10,17.5,,2.862201
0,0,1,13.14286,.9,2.5,5,5,,1.609438
0,0,0,103.8571,.2,2.5,10,17.5,,2.862201
0,0,0,103.8571,.2,2.5,20,20,,2.995732
0,0,0,26.14286,.444444,2.25,10,10,,2.302585
0,0,0,103.8571,.5,2.5,10,8,,2.079442
0,0,0,26.14286,.2,2.5,15,20,,2.995732
0,0,0,120.1429,.4,2.5,10,10,,2.302585
0,0,0,120.1429,.2,2.5,25,20,,2.995732
1,10,0,129.1429,.333333,2.25,10,10,2.302585,2.302585
0,0,0,143,.4,2.5,10,10,,2.302585
1,10,0,65.42857,.5,2.5,10,6,2.302585,1.791759
0,0,0,26.14286,.444444,2.25,10,10,,2.302585
0,0,1,13.14286,.444444,2.25,10,10,,2.302585
0,0,0,26.14286,.444444,2.25,10,10,,2.302585
1,5,0,26.14286,.6,2.5,5,5.833333,1.609438,1.763589
1,10,0,65.42857,.333333,2.25,10,10,2.302585,2.302585
0,0,1,13.14286,.4,2.5,10,10,,2.302585
0,0,0,65.42857,.4,2.5,10,10,,2.302585
0,0,0,168.4286,.2,2.5,25,20,,2.995732
0,0,1,13.14286,.4,2.5,10,10,,2.302585
0,0,0,65.42857,.2,2.5,10,10,,2.302585
0,0,0,51.28571,.5,2.5,5,9,,2.197225
0,0,1,13.14286,.222222,2.25,25,22.5,,3.113515
1,10,0,65.42857,.333333,2.25,10,10,2.302585,2.302585
0,0,1,26.14286,.444444,2.25,15,11.25,,2.420368
0,0,0,51.28571,.222222,2.25,25,22.5,,3.113515
0,0,0,103.8571,.333333,2.25,10,15,,2.70805
0,0,0,77.14286,.4,2.5,15,11.25,,2.420368
0,0,0,129.1429,.333333,2.25,10,15,,2.70805
0,0,0,65.42857,.5,2.5,5,8,,2.079442
1,10,0,51.28571,.4,2.5,10,8.75,2.302585,2.169054
0,0,1,13.14286,.777778,2.25,5,5.75,,1.7492
0,0,1,13.14286,.4,2.5,12,11,,2.397895
0,0,1,13.14286,.777778,2.25,7,6.25,,1.832582
1,7,0,26.14286,.666667,2.25,7,6,1.94591,1.791759
0,0,0,26.14286,.444444,2.25,15,8,,2.079442
0,0,0,51.28571,.3,2.5,10,10,,2.302585
0,0,0,65.42857,.4,2.5,10,10,,2.302585
0,0,0,103.8571,.4,2.5,10,10,,2.302585
1,10,0,103.8571,.333333,2.25,10,8.333333,2.302585,2.120264
0,0,1,13.14286,.222222,2.25,15,12.5,,2.525729
0,0,0,65.42857,.5,2.5,10,7.4,,2.00148
0,0,0,39.28571,.4,2.5,10,10,,2.302585
0,0,0,103.8571,.4,2.5,10,10,,2.302585
1,5,1,13.14286,1,2.5,5,3.5,1.609438,1.252763
1,10,0,51.28571,.333333,2.25,5,10,2.302585,2.302585
1,10,1,13.14286,.5,2.5,7,5.800001,2.302585,1.757858
1,4,0,26.14286,.444444,2.25,5,8.75,1.386294,2.169054
0,0,0,65.42857,.2,2.5,10,10,,2.302585
0,0,0,26.14286,.6,2.5,5,6.166667,,1.819158
0,0,0,51.28571,.4,2.5,10,10,,2.302585
0,0,0,129.1429,.2,2.5,25,17.5,,2.862201
0,0,0,103.8571,.2,2.5,10,17.5,,2.862201
1,10,0,65.42857,.333333,2.75,5,8.333333,2.302585,2.120264
0,0,0,103.8571,.3,2.5,15,11.66667,,2.456736
1,15,0,65.42857,.2,2.5,10,10,2.70805,2.302585
1,10,0,51.28571,.3,2.5,10,10,2.302585,2.302585
0,0,0,65.42857,.4,2.5,10,10,,2.302585
0,0,0,65.42857,.3,2.5,10,13.33333,,2.590267
1,10,0,26.14286,.333333,2.25,10,10,2.302585,2.302585
1,10,0,51.28571,.333333,2.25,10,10,2.302585,2.302585
1,5,0,26.14286,.6,2.5,5,5,1.609438,1.609438
0,0,0,143,.2,2.5,25,20,,2.995732
1,5,1,13.14286,.6,2.5,5,5.833333,1.609438,1.763589
1,10,0,26.14286,.333333,2.25,10,10,2.302585,2.302585
0,0,1,13.14286,.4,2.5,10,10,,2.302585
0,0,0,65.42857,.4,2.5,15,10,,2.302585
0,0,1,13.14286,.333333,2.25,10,10,,2.302585
0,0,0,51.28571,.4,2.5,10,10,,2.302585
0,0,1,13.14286,.333333,2.25,10,10,,2.302585
1,10,0,26.14286,.222222,2.25,10,10,2.302585,2.302585
0,0,0,51.28571,.444444,2.25,10,10,,2.302585
0,0,0,65.42857,.4,2.5,10,10,,2.302585
0,0,1,13.14286,.444444,2.25,10,10,,2.302585
0,0,0,65.42857,.333333,2.25,10,13.33333,,2.590267
0,0,0,51.28571,.333333,2.25,10,10,,2.302585
0,0,0,103.8571,.2,2.5,10,10,,2.302585
1,15,0,26.14286,.555556,2.25,10,10,2.70805,2.302585
1,10,1,13.14286,.75,2,10,10.83333,2.302585,2.382628
0,0,1,13.14286,.375,2,25,18.33333,,2.908721
1,25,0,26.14286,.375,2,20,23.33333,3.218876,3.149883
1,10,1,39.28571,.888889,2.25,10,10,2.302585,2.302585
1,20,0,65.42857,.555556,2.25,20,14,2.995732,2.639057
0,0,0,26.14286,.5,2,25,21.25,,3.056357
0,0,0,39.28571,.5,2,20,21.25,,3.056357
1,10,1,13.14286,.875,2,25,9.25,2.302585,2.224623
0,0,0,168.4286,.222222,2.25,40,40,,3.688879
1,10,1,13.14286,1,2,10,7.5,2.302585,2.014903
1,25,1,51.28571,.333333,2.25,25,25,3.218876,3.218876
0,0,1,26.14286,.888889,2.25,10,10,,2.302585
1,10,1,13.14286,.75,2,10,10,2.302585,2.302585
1,20,1,13.14286,.555556,2.25,20,12,2.995732,2.484907
1,10,1,13.14286,.875,2,10,10,2.302585,2.302585
1,10,0,51.28571,.666667,2.25,10,11.66667,2.302585,2.456736
0,0,1,26.14286,1,2.25,10,11.11111,,2.407946
0,0,0,51.28571,.375,2,25,23.33333,,3.149883
0,0,0,51.28571,.5,2,25,25,,3.218876
1,25,0,51.28571,.333333,2.25,25,25,3.218876,3.218876
1,25,0,26.14286,.375,2,25,25,3.218876,3.218876
0,0,0,51.28571,.375,2,25,25,,3.218876
0,0,0,51.28571,.375,2,50,33.33333,,3.506558
0,0,0,39.28571,.5,2,25,25,,3.218876
1,25,1,13.14286,.333333,2.25,25,25,3.218876,3.218876
0,0,1,13.14286,.5,2,25,25,,3.218876
1,25,0,51.28571,.375,2,25,25,3.218876,3.218876
0,0,0,26.14286,.25,2,50,50,,3.912023
0,0,0,26.14286,.5,2,25,25,,3.218876
1,10,1,26.14286,1,2.25,10,10,2.302585,2.302585
1,10,1,26.14286,1,2.25,10,10,2.302585,2.302585
0,0,0,65.42857,.25,2,50,50,,3.912023
0,0,0,51.28571,.375,2,25,25,,3.218876
1,25,0,51.28571,.25,2,25,25,3.218876,3.218876
1,10,1,26.14286,1,2,10,10,2.302585,2.302585
0,0,0,65.42857,.375,2,25,25,,3.218876
1,10,1,13.14286,.75,2,15,11.16667,2.302585,2.412933
1,5,1,13.14286,.777778,2.25,5,5,1.609438,1.609438
0,0,0,26.14286,.5,2,20,17.5,,2.862201
1,10,0,26.14286,.555556,2.25,10,12,2.302585,2.484907
1,10,0,39.28571,.625,2,10,10,2.302585,2.302585
0,0,1,13.14286,.555556,2.25,15,14,,2.639057
1,10,1,13.14286,.75,2,10,10,2.302585,2.302585
0,0,1,13.14286,.75,2,10,10,,2.302585
0,0,1,13.14286,.75,2,40,11.66667,,2.456736
0,0,1,13.14286,.75,2,10,10,,2.302585
0,0,0,51.28571,.25,2,50,50,,3.912023
1,10,0,39.28571,.75,2,10,10,2.302585,2.302585
1,25,0,103.8571,.222222,2.25,25,25,3.218876,3.218876
0,0,0,26.14286,.428571,2.25,20,23.33333,,3.149883
0,0,0,26.14286,.375,2,25,21.66667,,3.075775
0,0,1,13.14286,.666667,2.25,15,10.83333,,2.382628
1,10,0,51.28571,.75,2,5,9.166667,2.302585,2.215574
0,0,1,13.14286,.625,2,15,11,,2.397895
1,25,0,51.28571,.222222,2.25,25,25,3.218876,3.218876
1,15,1,51.28571,.444444,2.25,15,15,2.70805,2.70805
0,0,0,90,.333333,2.25,25,25,,3.218876
1,25,0,168.4286,.222222,2.25,25,25,3.218876,3.218876
0,0,0,65.42857,.222222,2.25,25,37.5,,3.624341
1,20,1,26.14286,.555556,2.25,20,18,2.995732,2.890372
0,0,0,143,.1,2.5,75,75,,4.317488
0,0,0,77.14286,.333333,2.25,25,25,,3.218876
0,0,0,103.8571,.222222,2.25,25,37.5,,3.624341
1,25,0,103.8571,.222222,2.25,25,25,3.218876,3.218876
0,0,0,51.28571,.333333,2.25,25,25,,3.218876
1,25,0,90,.222222,2.25,25,25,3.218876,3.218876
0,0,0,51.28571,.333333,2.25,25,25,,3.218876
1,25,0,26.14286,.5,2,10,10,3.218876,2.302585
0,0,1,13.14286,.5,2,10,15,,2.70805
1,15,0,26.14286,.375,2,15,15,2.70805,2.70805
1,25,1,13.14286,.222222,2.25,25,25,3.218876,3.218876
0,0,1,13.14286,.666667,2.25,15,12.5,,2.525729
0,0,0,51.28571,.333333,2.25,25,25,,3.218876
0,0,0,65.42857,.375,2,25,25,,3.218876
0,0,0,51.28571,.25,2,50,50,,3.912023
0,0,0,103.8571,.2,2.5,10,10,,2.302585
1,25,0,51.28571,.5,2,25,20,3.218876,2.995732
0,0,0,103.8571,.2,2.5,5,5,,1.609438
1,250,0,51.28571,.555556,2.25,250,170,5.521461,5.135798
0,0,0,65.42857,.2,2.5,5,7.5,,2.014903
0,0,0,120.1429,.1,2.5,15,15,,2.70805
0,0,0,51.28571,.7,2.5,2,2,,.6931472
0,0,0,51.28571,.2,2.5,5,5,,1.609438
0,0,0,103.8571,.2,2.5,5,5,,1.609438
0,0,0,51.28571,.5,2.5,2,2,,.6931472
1,25,1,26.14286,1,2.25,40,25.5,3.218876,3.238678
0,0,0,129.1429,.3,2.5,3,3,,1.098612
0,0,0,103.8571,.2,2.5,10,10,,2.302585
1,100,1,13.14286,1,2,100,87.5,4.60517,4.471639
1,100,1,51.28571,.444444,2.25,100,100,4.60517,4.60517
1,50,1,26.14286,1,2.25,50,38.83333,3.912023,3.659279
1,25,1,13.14286,.875,2,25,39.25,3.218876,3.669951
1,25,1,13.14286,1,2,25,35,3.218876,3.555348
0,0,0,103.8571,.4,2.5,5,5,,1.609438
0,0,0,26.14286,.4,2.5,5,4.75,,1.558145
0,0,1,13.14286,.555556,2.25,10,9,,2.197225
0,0,0,120.1429,.2,2.5,10,10,,2.302585
0,0,0,51.28571,.4,2.5,5,5,,1.609438
1,25,1,13.14286,1,2,25,25,3.218876,3.218876
0,0,0,120.1429,.2,2.5,10,10,,2.302585
0,0,0,120.1429,.2,2.5,10,10,,2.302585
0,0,0,103.8571,.4,2.5,5,5,,1.609438
0,0,0,65.42857,.2,2.5,10,10,,2.302585
0,0,0,143,.2,2.5,10,10,,2.302585
1,2,1,13.14286,.888889,2.25,2,2,.6931472,.6931472
0,0,0,26.14286,.2,2.5,10,10,,2.302585
0,0,0,103.8571,.2,2.5,10,10,,2.302585
0,0,0,129.1429,.2,2.5,10,10,,2.302585
1,5,0,65.42857,.3,2.5,5,5,1.609438,1.609438
0,0,0,103.8571,.2,2.5,10,10,,2.302585
0,0,0,120.1429,.2,2.5,10,10,,2.302585
0,0,0,65.42857,.1,2.5,20,20,,2.995732
1,25,1,51.28571,.888889,2.25,25,27.5,3.218876,3.314186
1,25,1,13.14286,1,2,25,25,3.218876,3.218876
0,0,0,51.28571,.25,2,100,57.5,,4.051785
0,0,0,26.14286,.625,2,25,25,,3.218876
0,0,1,13.14286,.5,2,25,31.25,,3.442019
1,25,1,26.14286,1,2.25,25,13.33333,3.218876,2.590267
1,15,1,39.28571,1,2.25,15,14,2.70805,2.639057
1,10,1,26.14286,1,2.25,15,14.5,2.302585,2.674149
1,25,1,26.14286,.875,2.5,15,15,3.218876,2.70805
1,25,1,39.28571,1,2.25,25,11.66667,3.218876,2.456736
1,25,0,26.14286,.5,2,25,19.25,3.218876,2.957511
0,0,0,120.1429,.2,2.5,10,10,,2.302585
0,0,1,13.14286,.444444,2.25,35,31.25,,3.442019
0,0,1,13.14286,.5,2,25,37.5,,3.624341
1,25,0,65.42857,.444444,2.25,25,25,3.218876,3.218876
1,25,1,13.14286,.375,2,25,25,3.218876,3.218876
0,0,0,39.28571,.375,2,10,40,,3.688879
1,25,0,51.28571,.555556,2.25,15,19,3.218876,2.944439
1,20,1,13.14286,.5,2,25,25,2.995732,3.218876
0,0,1,51.28571,.777778,2.25,40,21.5,,3.068053
1,25,0,51.28571,.666667,2.25,25,20,3.218876,2.995732
1,25,1,13.14286,1,2,25,25,3.218876,3.218876
1,25,1,51.28571,.777778,2.25,25,25,3.218876,3.218876
0,0,0,51.28571,.777778,2.25,25,27.83333,,3.326234
1,25,0,26.14286,.375,2,10,20,3.218876,2.995732
0,0,1,13.14286,.75,2,25,33.33333,,3.506558
0,0,1,13.14286,1,2,25,25,,3.218876
1,25,1,26.14286,.888889,2.25,25,25,3.218876,3.218876
1,50,1,51.28571,.333333,2.25,50,50,3.912023,3.912023
1,50,0,51.28571,.333333,2.25,50,50,3.912023,3.912023
0,0,0,39.28571,.625,2,25,32,,3.465736
1,25,1,51.28571,.888889,2.25,50,21.83333,3.218876,3.083438
1,50,0,158,.125,2,50,50,3.912023,3.912023
1,30,1,13.14286,.625,2,30,30,3.401197,3.401197
0,0,0,26.14286,.5,2,25,43.75,,3.778491
0,0,0,26.14286,.875,2,25,25,,3.218876
1,25,1,51.28571,.666667,2.25,25,25,3.218876,3.218876
0,0,1,51.28571,.888889,2.25,10,21.25,,3.056357
1,30,0,39.28571,.75,2,25,30,3.401197,3.401197
1,15,1,13.14286,.222222,2.25,15,15,2.70805,2.70805
0,0,0,129.1429,.1,2.5,20,20,,2.995732
0,0,0,120.1429,.4,2.5,10,11.25,,2.420368
0,0,0,77.14286,.3,2.5,25,25,,3.218876
0,0,0,103.8571,.3,2.5,25,25,,3.218876
0,0,1,13.14286,.666667,2.25,12,11.66667,,2.456736
1,10,1,13.14286,.888889,2.25,10,7.5,2.302585,2.014903
1,25,0,26.14286,.3,2.5,25,18.33333,3.218876,2.908721
0,0,1,13.14286,.777778,2.25,10,10,,2.302585
1,10,0,51.28571,.444444,2.25,10,11.25,2.302585,2.420368
1,10,1,13.14286,.666667,2.25,10,10,2.302585,2.302585
1,10,1,13.14286,.7,2.5,10,9.25,2.302585,2.224623
1,15,0,26.14286,.6,2.5,10,10,2.70805,2.302585
1,15,1,13.14286,.555556,2.25,15,14,2.70805,2.639057
1,10,1,13.14286,.666667,2.25,10,6.666667,2.302585,1.89712
0,0,0,195,.1,2.5,75,75,,4.317488
0,0,0,103.8571,.3,2.5,15,25,,3.218876
0,0,0,103.8571,.3,2.5,25,25,,3.218876
0,0,0,103.8571,.333333,2.25,25,25,,3.218876
1,25,1,13.14286,.333333,2.25,25,20,3.218876,2.995732
0,0,1,13.14286,.8,2.5,7,10.5,,2.351375
1,10,1,13.14286,.777778,2.25,10,10,2.302585,2.302585
1,25,0,26.14286,.444444,2.25,10,15.5,3.218876,2.74084
0,0,0,26.14286,.555556,2.25,25,17,,2.833213
1,25,0,65.42857,.222222,2.25,25,25,3.218876,3.218876
1,10,1,13.14286,.888889,2.25,10,10,2.302585,2.302585
1,25,0,51.28571,.444444,2.25,20,16.25,3.218876,2.788093
1,15,0,51.28571,.555556,2.25,15,15,2.70805,2.70805
1,10,1,13.14286,.777778,2.25,10,10,2.302585,2.302585
1,5,1,13.14286,.444444,2.25,5,20,1.609438,2.995732
1,10,0,26.14286,.666667,2.25,10,10.83333,2.302585,2.382628
0,0,1,13.14286,.555556,2.25,25,17,,2.833213
1,10,1,13.14286,.666667,2.25,10,10.83333,2.302585,2.382628
0,0,1,13.14286,.5,2.5,25,17,,2.833213
1,25,1,13.14286,.666667,2.25,10,10,3.218876,2.302585
1,15,1,13.14286,.444444,2.25,25,17.5,2.70805,2.862201
0,0,1,13.14286,.6,2.5,10,14.16667,,2.650892
0,0,0,143,.4,2.5,10,21.25,,3.056357
1,10,0,39.28571,.666667,2.25,12,10.33333,2.302585,2.335375
1,10,0,51.28571,.5,2.5,25,13,2.302585,2.564949
1,25,0,51.28571,.444444,2.25,10,10,3.218876,2.302585
1,15,1,13.14286,.4,2.5,10,12.5,2.70805,2.525729
0,0,1,13.14286,.777778,2.25,10,7.833333,,2.058388
0,0,0,65.42857,.444444,2.25,10,17.5,,2.862201
1,10,1,13.14286,.444444,2.25,25,14.25,2.302585,2.656757
0,0,0,26.14286,.555556,2.25,10,13,,2.564949
1,10,0,39.28571,.666667,2.25,10,9.166667,2.302585,2.215574
0,0,0,26.14286,.555556,2.25,10,11,,2.397895
0,0,1,13.14286,.444444,2.25,25,16.25,,2.788093
0,0,1,13.14286,.555556,2.25,25,18.4,,2.912351
0,0,0,65.42857,.5,2.5,10,13,,2.564949
0,0,0,51.28571,.7,2.5,10,10,,2.302585
0,0,1,13.14286,.6,2.5,10,10.83333,,2.382628
1,10,0,51.28571,.444444,2.25,10,13.75,2.302585,2.621039
0,0,0,39.28571,.666667,2.25,10,10.83333,,2.382628
1,5,1,13.14286,1,2.25,5,5.5,1.609438,1.704748
0,0,1,39.28571,.8,2.5,10,8.166667,,2.100061
0,0,1,13.14286,.555556,2.25,10,11,,2.397895
1,5,1,13.14286,.666667,2.25,10,10.83333,1.609438,2.382628
0,0,0,39.28571,.444444,2.25,15,17.5,,2.862201
1,10,1,13.14286,.6,2.5,10,10,2.302585,2.302585
0,0,0,103.8571,.5,2.5,10,14,,2.639057
1,10,1,13.14286,.5,2.5,10,17,2.302585,2.833213
1,10,1,13.14286,.666667,2.25,10,10,2.302585,2.302585
1,20,0,26.14286,.555556,2.25,10,10,2.995732,2.302585
0,0,0,90,.333333,2.25,25,23.33333,,3.149883
0,0,1,13.14286,.666667,2.25,10,10,,2.302585
0,0,1,26.14286,.777778,2.25,10,10,,2.302585
1,10,1,26.14286,.555556,2.25,10,10,2.302585,2.302585
0,0,1,13.14286,.333333,2.25,25,23.33333,,3.149883
0,0,1,13.14286,.333333,2.25,25,23.33333,,3.149883
0,0,1,26.14286,.666667,2.25,10,10,,2.302585
1,10,1,13.14286,.666667,2.25,10,10,2.302585,2.302585
1,20,0,77.14286,.333333,2.25,10,13.33333,2.995732,2.590267
0,0,0,51.28571,.6,2.5,15,11.66667,,2.456736
1,10,1,26.14286,.666667,2.25,10,10,2.302585,2.302585
0,0,1,13.14286,.3,2.5,25,23.33333,,3.149883
0,0,1,13.14286,.888889,2.25,10,10,,2.302585
0,0,0,39.28571,.555556,2.25,10,13,,2.564949
1,15,1,13.14286,.444444,2.25,15,16.25,2.70805,2.788093
1,20,1,26.14286,1,2.25,10,21.66667,2.995732,3.075775
1,50,0,51.28571,.6,2.5,50,28.33333,3.912023,3.344039
1,25,1,39.28571,1,2.5,25,24,3.218876,3.178054
1,25,1,26.14286,1,2.25,25,22.75,3.218876,3.124565
0,0,1,13.14286,.5,2.5,50,50,,3.912023
1,60,0,51.28571,.4,2.5,50,45,4.094345,3.806663
1,50,1,26.14286,.666667,2.25,25,29.16667,3.912023,3.373026
1,25,1,39.28571,.7,2.5,25,28.5,3.218876,3.349904
0,0,1,13.14286,.3,2.5,75,58.33333,,4.066174
1,50,0,51.28571,.444444,2.25,50,30,3.912023,3.401197
0,0,1,13.14286,.444444,2.25,50,43.75,,3.778491
1,25,0,26.14286,.777778,2.25,25,25,3.218876,3.218876
0,0,0,26.14286,.777778,2.25,25,28.5,,3.349904
0,0,0,26.14286,.666667,2.25,50,33.33333,,3.506558
1,25,1,13.14286,.7,2.5,25,22.83333,3.218876,3.128222
1,35,1,26.14286,.555556,2.25,25,29,3.555348,3.367296
1,25,1,13.14286,1,2.25,25,25,3.218876,3.218876
1,30,1,13.14286,.7,2.5,30,29.25,3.401197,3.37588
1,15,0,103.8571,.444444,2.25,10,10,2.70805,2.302585
0,0,0,65.42857,.2,2.5,10,10,,2.302585
1,100,0,51.28571,.6,2.5,100,91.66666,4.60517,4.518159
1,50,0,51.28571,.222222,2.25,100,62.5,3.912023,4.135167
0,0,0,195,.090909,2.75,25,25,,3.218876
1,2,1,13.14286,.8,2.5,5,2.75,.6931472,1.011601
1,5,1,13.14286,.9,2.5,2,1.833333,1.609438,.6061358
0,0,0,65.42857,.2,2.5,12,11,,2.397895
0,0,0,51.28571,.181818,2.75,10,10,,2.302585
1,25,1,13.14286,.9,2.5,25,26.11111,3.218876,3.262361
1,100,1,26.14286,1,2.25,200,166.6667,4.60517,5.115996
1,25,1,39.28571,1,2.5,25,25.5,3.218876,3.238678
0,0,0,26.14286,.666667,2.25,100,83.33334,,4.422849
1,35,1,26.14286,1,2.25,40,38.33333,3.555348,3.64632
1,50,1,13.14286,1,2.5,100,37.5,3.912023,3.624341
1,30,1,26.14286,1,2.5,25,30,3.401197,3.401197
1,50,0,51.28571,.6,2.5,40,46.66667,3.912023,3.84303
1,25,0,51.28571,.6,2.5,25,23.33333,3.218876,3.149883
1,25,1,51.28571,.9,2.5,15,16.66667,3.218876,2.813411
1,10,1,13.14286,1,2.25,10,9.111111,2.302585,2.209495
0,0,0,65.42857,.222222,2.25,50,50,,3.912023
1,25,1,13.14286,.333333,2.25,25,25,3.218876,3.218876
1,25,0,26.14286,.333333,2.25,25,25,3.218876,3.218876
0,0,0,103.8571,.333333,2.25,25,33.33333,,3.506558
1,10,1,13.14286,.9,2.5,10,10,2.302585,2.302585
0,0,0,143,.2,2.5,50,50,,3.912023
1,25,0,26.14286,.333333,2.25,25,25,3.218876,3.218876
1,25,1,13.14286,.6,2.5,10,12.5,3.218876,2.525729
0,0,0,51.28571,.444444,2.25,15,15,,2.70805
0,0,0,39.28571,.444444,2.25,25,25,,3.218876
0,0,0,65.42857,.333333,2.25,25,30,,3.401197
0,0,0,158,.111111,2.25,100,100,,4.60517
1,15,1,13.14286,.6,2.5,15,14.16667,2.70805,2.650892
0,0,1,13.14286,.444444,2.25,25,25,,3.218876
0,0,1,13.14286,.333333,2.25,25,25,,3.218876
0,0,1,13.14286,.222222,2.25,50,50,,3.912023
1,10,1,13.14286,1,2.25,10,10,2.302585,2.302585
1,10,1,13.14286,1,2.25,10,10,2.302585,2.302585
0,0,0,65.42857,.3,2.5,50,50,,3.912023
0,0,1,13.14286,.6,2.5,25,23.33333,,3.149883
1,25,0,39.28571,.444444,2.25,25,25,3.218876,3.218876
1,25,1,13.14286,.333333,2.25,25,23.33333,3.218876,3.149883
1,50,0,65.42857,.2,2.5,50,50,3.912023,3.912023
1,25,1,39.28571,.5,2.5,25,25,3.218876,3.218876
0,0,1,13.14286,.6,2.5,25,24.16667,,3.184974
0,0,0,39.28571,.555556,2.25,20,24,,3.178054
1,25,1,26.14286,.888889,2.25,15,14.37501,3.218876,2.665491
1,10,1,13.14286,.666667,2.25,15,18.33333,2.302585,2.908721
1,20,0,26.14286,.666667,2.25,25,19.16667,2.995732,2.953173
1,15,1,39.28571,.9,2.5,15,11.66667,2.70805,2.456736
1,25,0,26.14286,.555556,2.25,25,20,3.218876,2.995732
0,0,0,26.14286,.4,2.5,25,31.25,,3.442019
0,0,1,39.28571,.5,2.5,25,25,,3.218876
0,0,0,65.42857,.5,2.5,25,25,,3.218876
1,20,1,13.14286,.666667,2.25,10,12.5,2.995732,2.525729
