id,year,wage,educ,exper,manuf,black,lwage,y81,y82,y83,y84,y85,y86,y87,inlf,expersq,lwage_1,inlf_1,inlfp1
8,82,16442.46,12,1,1,1,9.707623,0,1,0,0,0,0,0,1,1,10.24581,1,1
8,83,17075.99,12,2,1,1,9.745429,0,0,1,0,0,0,0,1,4,10.1789,1,1
8,84,25164.25,12,3,0,1,10.13318,0,0,0,1,0,0,0,1,9,9.707623,1,1
8,85,26341.47,12,4,0,1,10.1789,0,0,0,0,1,0,0,1,16,10.39819,1,0
8,86,28164.17,12,5,0,1,10.24581,0,0,0,0,0,1,0,1,25,9.460699,1,1
8,87,32800.14,12,6,0,1,10.39819,0,0,0,0,0,0,1,1,36,9.650285,1,
10,81,,11,1,0,1,,1,0,0,0,0,0,0,0,1,,,0
10,82,,11,1,0,1,,0,1,0,0,0,0,0,0,1,,1,0
10,83,,11,1,0,1,,0,0,1,0,0,0,0,0,1,,1,1
10,84,18139.18,11,1,1,1,9.805829,0,0,0,1,0,0,0,1,1,9.394747,0,0
10,85,12025.05,11,2,1,1,9.394747,0,0,0,0,1,0,0,1,4,,0,1
10,86,,11,3,0,1,,0,0,0,0,0,1,0,0,9,,0,0
10,87,,11,3,0,1,,0,0,0,0,0,0,1,0,9,,0,
11,81,,11,0,0,1,,1,0,0,0,0,0,0,0,0,,,1
11,82,,11,0,0,1,,0,1,0,0,0,0,0,0,0,,0,0
11,83,10336.85,11,0,0,1,9.24347,0,0,1,0,0,0,0,1,0,9.49564,1,1
11,84,13301.6,11,1,0,1,9.49564,0,0,0,1,0,0,0,1,1,9.720057,1,0
11,85,16648.19,11,2,0,1,9.720057,0,0,0,0,1,0,0,1,4,9.371133,1,1
11,86,11744.41,11,3,0,1,9.371133,0,0,0,0,0,1,0,1,9,,1,1
11,87,8287.29,11,4,0,1,9.022478,0,0,0,0,0,0,1,1,16,9.24347,0,
12,81,,14,0,0,1,,1,0,0,0,0,0,0,0,0,,,0
12,82,,14,0,0,1,,0,1,0,0,0,0,0,0,0,,1,1
12,83,14159.67,14,0,1,1,9.558153,0,0,1,0,0,0,0,1,0,9.784102,0,1
12,84,16828,14,1,1,1,9.7308,0,0,0,1,0,0,0,1,1,,1,1
12,85,17749.32,14,2,1,1,9.784102,0,0,0,0,1,0,0,1,4,9.544042,1,1
12,86,13961.26,14,3,0,1,9.544042,0,0,0,0,0,1,0,1,9,10.5367,1,0
12,87,37673.07,14,4,1,1,10.5367,0,0,0,0,0,0,1,1,16,9.7308,1,
14,81,,11,0,0,1,,1,0,0,0,0,0,0,0,0,,,0
14,82,,11,0,0,1,,0,1,0,0,0,0,0,0,0,9.558153,0,0
14,83,,11,0,0,1,,0,0,1,0,0,0,0,0,0,,0,1
14,84,6127.03,11,0,0,1,8.720466,0,0,0,1,0,0,0,1,0,,1,1
14,85,,11,1,0,1,,0,0,0,0,1,0,0,0,1,,0,0
14,86,,11,1,0,1,,0,0,0,0,0,1,0,0,1,,1,0
14,87,8445.73,11,1,0,1,9.041416,0,0,0,0,0,0,1,1,1,8.720466,0,
15,81,,11,0,0,1,,1,0,0,0,0,0,0,0,0,,,0
15,82,,11,0,0,1,,0,1,0,0,0,0,0,0,0,,0,0
15,83,,11,0,0,1,,0,0,1,0,0,0,0,0,0,9.041416,0,0
15,84,,11,0,0,1,,0,0,0,1,0,0,0,0,0,,0,0
15,85,,11,0,0,1,,0,0,0,0,1,0,0,0,0,,0,0
15,86,,11,0,0,1,,0,0,0,0,0,1,0,0,0,,1,0
15,87,,11,0,0,1,,0,0,0,0,0,0,1,0,0,,0,
19,81,12887.83,11,0,0,1,9.464039,1,0,0,0,0,0,0,1,0,,,1
19,82,,11,1,0,1,,0,1,0,0,0,0,0,0,1,,1,1
19,83,14013.28,11,1,1,1,9.547761,0,0,1,0,0,0,0,1,1,9.658783,0,0
19,84,15658.72,11,2,1,1,9.658783,0,0,0,1,0,0,0,1,4,9.631554,1,1
19,85,15238.09,11,3,1,1,9.631554,0,0,0,0,1,0,0,1,9,9.563435,1,1
19,86,,11,4,0,1,,0,0,0,0,0,1,0,0,16,,0,0
19,87,14234.65,11,4,1,1,9.563435,0,0,0,0,0,0,1,1,16,,1,
24,81,,10,0,0,1,,1,0,0,0,0,0,0,0,0,,,1
24,82,9357.8,10,0,0,1,9.143966,0,1,0,0,0,0,0,1,0,9.336522,1,1
24,83,10550.42,10,1,0,1,9.263921,0,0,1,0,0,0,0,1,1,9.444978,1,1
24,84,12644.5,10,2,0,1,9.444978,0,0,0,1,0,0,0,1,4,,0,0
24,85,14635.52,10,3,0,1,9.591207,0,0,0,0,1,0,0,1,9,9.517175,1,1
24,86,11344.88,10,4,0,1,9.336522,0,0,0,0,0,1,0,1,16,9.263921,1,1
24,87,13591.16,10,5,0,1,9.517175,0,0,0,0,0,0,1,1,25,9.143966,1,
25,81,,11,0,0,1,,1,0,0,0,0,0,0,0,0,,,0
25,82,,11,0,0,1,,0,1,0,0,0,0,0,0,0,,0,0
25,83,,11,0,0,1,,0,0,1,0,0,0,0,0,0,,1,1
25,84,,11,0,0,1,,0,0,0,1,0,0,0,0,0,,1,0
25,85,,11,0,0,1,,0,0,0,0,1,0,0,0,0,9.591207,0,0
25,86,,11,0,0,1,,0,0,0,0,0,1,0,0,0,,0,0
25,87,14130.27,11,0,0,1,9.556074,0,0,0,0,0,0,1,1,0,,0,
28,81,7995.23,12,0,0,1,8.9866,1,0,0,0,0,0,0,1,0,,,0
28,82,7870.53,12,1,0,1,8.970881,0,1,0,0,0,0,0,1,1,8.961823,1,1
28,83,15730.02,12,2,0,1,9.663326,0,0,1,0,0,0,0,1,4,9.650337,1,1
28,84,15527.02,12,3,0,1,9.650337,0,0,0,1,0,0,0,1,9,9.421759,1,1
28,85,7799.57,12,4,0,1,8.961823,0,0,0,0,1,0,0,1,16,9.663326,0,1
28,86,,12,5,0,1,,0,0,0,0,0,1,0,0,25,9.556074,1,1
28,87,12354.29,12,5,0,1,9.421759,0,0,0,0,0,0,1,1,25,,1,
36,81,,9,0,0,1,,1,0,0,0,0,0,0,0,0,,,0
36,82,,9,0,0,1,,0,1,0,0,0,0,0,0,0,,1,0
36,83,,9,0,0,1,,0,0,1,0,0,0,0,0,0,,0,1
36,84,,9,0,0,1,,0,0,0,1,0,0,0,0,0,,0,0
36,85,5229.52,9,0,0,1,8.562075,0,0,0,0,1,0,0,1,0,,0,1
36,86,7427.98,9,1,0,1,8.91301,0,0,0,0,0,1,0,1,1,9.470177,1,0
36,87,12967.18,9,2,0,1,9.470177,0,0,0,0,0,0,1,1,4,8.562075,1,
40,81,,12,0,0,1,,1,0,0,0,0,0,0,0,0,,,1
40,82,12629.97,12,0,0,1,9.443828,0,1,0,0,0,0,0,1,0,9.778165,1,1
40,83,16430.87,12,1,0,1,9.706917,0,0,1,0,0,0,0,1,1,10.00941,0,1
40,84,17644.24,12,2,0,1,9.778165,0,0,0,1,0,0,0,1,4,,1,1
40,85,17583.84,12,3,0,1,9.774735,0,0,0,0,1,0,0,1,9,9.443828,1,1
40,86,22234.6,12,4,1,1,10.00941,0,0,0,0,0,1,0,1,16,9.774735,1,0
40,87,15833.61,12,5,0,1,9.66989,0,0,0,0,0,0,1,1,25,9.706917,1,
41,81,12584.59,9,1,0,1,9.440228,1,0,0,0,0,0,0,1,1,,,1
41,82,,9,2,0,1,,0,1,0,0,0,0,0,0,4,,0,0
41,83,1769.41,9,2,0,1,7.478402,0,0,1,0,0,0,0,1,4,,1,1
41,84,,9,3,0,1,,0,0,0,1,0,0,0,0,9,9.66989,1,1
41,85,10228.31,9,3,0,1,9.232915,0,0,0,0,1,0,0,1,9,9.524062,1,1
41,86,13685.09,9,4,0,1,9.524062,0,0,0,0,0,1,0,1,16,9.440228,1,0
41,87,10724.73,9,5,0,1,9.280308,0,0,0,0,0,0,1,1,25,9.232915,0,
42,81,,10,0,0,1,,1,0,0,0,0,0,0,0,0,,,0
42,82,,10,0,0,1,,0,1,0,0,0,0,0,0,0,,0,0
42,83,,10,0,0,1,,0,0,1,0,0,0,0,0,0,,0,0
42,84,,10,0,0,1,,0,0,0,1,0,0,0,0,0,,0,0
42,85,,10,0,0,1,,0,0,0,0,1,0,0,0,0,,0,0
42,86,,10,0,0,1,,0,0,0,0,0,1,0,0,0,,0,0
42,87,,10,0,0,1,,0,0,0,0,0,0,1,0,0,9.280308,0,
47,81,,12,0,0,1,,1,0,0,0,0,0,0,0,0,,,0
47,82,,12,0,0,1,,0,1,0,0,0,0,0,0,0,,1,1
47,83,10260.61,12,0,0,1,9.236068,0,0,1,0,0,0,0,1,0,,0,1
47,84,9253.87,12,1,0,1,9.132797,0,0,0,1,0,0,0,1,1,9.236068,0,1
47,85,,12,2,0,1,,0,0,0,0,1,0,0,0,4,,0,0
47,86,9601.31,12,2,0,1,9.169655,0,0,0,0,0,1,0,1,4,9.132797,1,0
47,87,,12,3,0,1,,0,0,0,0,0,0,1,0,9,,0,
53,81,,12,0,0,1,,1,0,0,0,0,0,0,0,0,,,0
53,82,10366.97,12,0,0,1,9.24638,0,1,0,0,0,0,0,1,0,8.606782,0,1
53,83,,12,1,0,1,,0,0,1,0,0,0,0,0,1,,1,0
53,84,7316.07,12,1,0,1,8.897828,0,0,0,1,0,0,0,1,1,,0,1
53,85,,12,2,0,1,,0,0,0,0,1,0,0,0,4,,1,1
53,86,,12,2,0,1,,0,0,0,0,0,1,0,0,4,9.169655,0,0
53,87,5468.62,12,2,0,1,8.606782,0,0,0,0,0,0,1,1,4,8.897828,1,
56,81,8472.55,12,0,0,1,9.044587,1,0,0,0,0,0,0,1,0,,,1
56,82,8389.97,12,1,0,1,9.034792,0,1,0,0,0,0,0,1,1,9.728395,1,1
56,83,15420.52,12,2,0,1,9.643455,0,0,1,0,0,0,0,1,4,9.24638,1,1
56,84,16787.58,12,3,0,1,9.728395,0,0,0,1,0,0,0,1,9,9.044587,1,1
56,85,18346.82,12,4,0,1,9.817211,0,0,0,0,1,0,0,1,16,9.034792,1,0
56,86,24371.81,12,5,0,1,10.10118,0,0,0,0,0,1,0,1,25,10.13897,1,1
56,87,25310.38,12,6,0,1,10.13897,0,0,0,0,0,0,1,1,36,9.643455,1,
57,81,,11,0,0,1,,1,0,0,0,0,0,0,0,0,,,0
57,82,,11,0,0,1,,0,1,0,0,0,0,0,0,0,,0,0
57,83,,11,0,0,1,,0,0,1,0,0,0,0,0,0,,0,0
57,84,,11,0,0,1,,0,0,0,1,0,0,0,0,0,,1,0
57,85,,11,0,0,1,,0,0,0,0,1,0,0,0,0,,0,1
57,86,6832.41,11,0,0,1,8.829432,0,0,0,0,0,1,0,1,0,,0,1
57,87,10253.67,11,1,0,1,9.235391,0,0,0,0,0,0,1,1,1,8.829432,1,
59,81,8108.46,10,1,0,1,9.000663,1,0,0,0,0,0,0,1,1,,,0
59,82,8385.83,10,2,0,1,9.034299,0,1,0,0,0,0,0,1,4,9.715626,1,1
59,83,8356.43,10,3,0,1,9.030787,0,0,1,0,0,0,0,1,9,9.751209,1,1
59,84,20826.5,10,4,1,1,9.943981,0,0,0,1,0,0,0,1,16,9.719347,1,1
59,85,16636.38,10,5,1,1,9.719347,0,0,0,0,1,0,0,1,25,9.034299,1,1
59,86,17174.98,10,6,0,1,9.751209,0,0,0,0,0,1,0,1,36,9.943981,1,1
59,87,16574.59,10,7,1,1,9.715626,0,0,0,0,0,0,1,1,49,9.000663,1,
68,81,,10,0,0,1,,1,0,0,0,0,0,0,0,0,,,0
68,82,,10,0,0,1,,0,1,0,0,0,0,0,0,0,,0,0
68,83,,10,0,0,1,,0,0,1,0,0,0,0,0,0,,0,0
68,84,,10,0,0,1,,0,0,0,1,0,0,0,0,0,,0,0
68,85,,10,0,0,1,,0,0,0,0,1,0,0,0,0,,1,0
68,86,,10,0,0,1,,0,0,0,0,0,1,0,0,0,9.030787,0,0
68,87,,10,0,0,1,,0,0,0,0,0,0,1,0,0,,0,
71,81,,11,0,0,1,,1,0,0,0,0,0,0,0,0,,,0
71,82,,11,0,0,1,,0,1,0,0,0,0,0,0,0,,1,1
71,83,33351.38,11,0,0,1,10.41485,0,0,1,0,0,0,0,1,0,,0,1
71,84,34510.14,11,1,0,1,10.44901,0,0,0,1,0,0,0,1,1,10.46896,1,1
71,85,35205.54,11,2,0,1,10.46896,0,0,0,0,1,0,0,1,4,10.41485,1,0
71,86,37667.42,11,3,0,1,10.53655,0,0,0,0,0,1,0,1,9,9.184998,0,1
71,87,9749.76,11,4,1,1,9.184998,0,0,0,0,0,0,1,1,16,10.44901,1,
72,81,7745.37,13,0,0,1,8.95485,1,0,0,0,0,0,0,1,0,,,1
72,82,8650.29,13,1,0,1,9.065348,0,1,0,0,0,0,0,1,1,9.455598,1,1
72,83,9660.98,13,2,0,1,9.175851,0,0,1,0,0,0,0,1,4,9.065348,1,1
72,84,11693.83,13,3,0,1,9.366817,0,0,0,1,0,0,0,1,9,,1,0
72,85,10206.08,13,4,0,1,9.230739,0,0,0,0,1,0,0,1,16,9.175851,0,1
72,86,,13,5,0,1,,0,0,0,0,0,1,0,0,25,10.53655,1,1
72,87,12779.5,13,5,0,1,9.455598,0,0,0,0,0,0,1,1,25,9.366817,1,
73,81,,11,0,0,1,,1,0,0,0,0,0,0,0,0,,,0
73,82,,11,0,0,1,,0,1,0,0,0,0,0,0,0,8.95485,0,0
73,83,,11,0,0,1,,0,0,1,0,0,0,0,0,0,,0,0
73,84,,11,0,0,1,,0,0,0,1,0,0,0,0,0,,1,0
73,85,,11,0,0,1,,0,0,0,0,1,0,0,0,0,,0,0
73,86,,11,0,0,1,,0,0,0,0,0,1,0,0,0,,0,0
73,87,,11,0,0,1,,0,0,0,0,0,0,1,0,0,,0,
78,81,,12,1,0,1,,1,0,0,0,0,0,0,0,1,,,0
78,82,,12,1,0,1,,0,1,0,0,0,0,0,0,1,,0,1
78,83,7584.87,12,1,0,1,8.93391,0,0,1,0,0,0,0,1,1,9.380044,1,1
78,84,,12,2,0,1,,0,0,0,1,0,0,0,0,4,,0,0
78,85,8430.69,12,2,1,1,9.039634,0,0,0,0,1,0,0,1,4,9.355641,1,0
78,86,11849.54,12,3,0,1,9.380044,0,0,0,0,0,1,0,1,9,9.039634,1,1
78,87,11563.88,12,4,0,1,9.355641,0,0,0,0,0,0,1,1,16,,0,
81,81,,11,0,0,1,,1,0,0,0,0,0,0,0,0,,,0
81,82,,11,0,0,1,,0,1,0,0,0,0,0,0,0,8.93391,0,1
81,83,,11,0,0,1,,0,0,1,0,0,0,0,0,0,,1,0
81,84,5266.76,11,0,0,1,8.569171,0,0,0,1,0,0,0,1,0,8.898306,1,1
81,85,5312.82,11,1,0,1,8.577878,0,0,0,0,1,0,0,1,1,,0,1
81,86,5033.11,11,2,0,1,8.523793,0,0,0,0,0,1,0,1,4,8.569171,1,1
81,87,7319.56,11,3,1,1,8.898306,0,0,0,0,0,0,1,1,9,8.577878,0,
84,81,,12,1,0,1,,1,0,0,0,0,0,0,0,1,,,1
84,82,,12,1,0,1,,0,1,0,0,0,0,0,0,1,8.523793,0,0
84,83,7983.82,12,1,0,1,8.985172,0,0,1,0,0,0,0,1,1,8.811594,1,1
84,84,6711.61,12,2,0,1,8.811594,0,0,0,1,0,0,0,1,4,9.456941,1,1
84,85,12796.67,12,3,1,1,9.456941,0,0,0,0,1,0,0,1,9,9.625058,0,1
84,86,12693.94,12,4,1,1,9.44888,0,0,0,0,0,1,0,1,16,8.985172,1,1
84,87,15139.43,12,5,1,1,9.625058,0,0,0,0,0,0,1,1,25,,1,
91,81,99012.76,10,2,0,1,11.503,1,0,0,0,0,0,0,1,4,,,1
91,82,38598.59,10,3,0,1,10.56097,0,1,0,0,0,0,0,1,9,10.81819,1,1
91,83,49920.44,10,4,0,1,10.81819,0,0,1,0,0,0,0,1,16,10.79433,1,1
91,84,49252.12,10,5,0,1,10.80471,0,0,0,1,0,0,0,1,25,10.5672,1,1
91,85,48743.84,10,6,0,1,10.79433,0,0,0,0,1,0,0,1,36,10.80471,1,1
91,86,38839.81,10,7,0,1,10.5672,0,0,0,0,0,1,0,1,49,9.44888,1,0
91,87,22668.19,10,8,0,1,10.02872,0,0,0,0,0,0,1,1,64,10.56097,1,
95,81,,12,1,0,1,,1,0,0,0,0,0,0,0,1,,,1
95,82,,12,1,0,1,,0,1,0,0,0,0,0,0,1,11.503,1,0
95,83,19284.16,12,1,1,1,9.86704,0,0,1,0,0,0,0,1,1,,1,0
95,84,20096.78,12,2,1,1,9.908315,0,0,0,1,0,0,0,1,4,9.86704,1,1
95,85,26620.58,12,3,0,1,10.18944,0,0,0,0,1,0,0,1,9,10.27663,0,1
95,86,50027.86,12,4,0,1,10.82034,0,0,0,0,0,1,0,1,16,10.18944,1,1
95,87,29045.88,12,5,0,1,10.27663,0,0,0,0,0,0,1,1,25,9.908315,1,
99,81,,11,0,0,1,,1,0,0,0,0,0,0,0,0,,,1
99,82,,11,0,0,1,,0,1,0,0,0,0,0,0,0,,1,0
99,83,,11,0,0,1,,0,0,1,0,0,0,0,0,0,10.82034,0,0
99,84,,11,0,0,1,,0,0,0,1,0,0,0,0,0,,1,0
99,85,19320.44,11,0,0,1,9.868918,0,0,0,0,1,0,0,1,0,9.472176,0,1
99,86,12993.12,11,1,0,1,9.472176,0,0,0,0,0,1,0,1,1,,0,1
99,87,12382.19,11,2,0,1,9.424014,0,0,0,0,0,0,1,1,4,9.868918,1,
100,81,13613.24,13,1,0,1,9.518798,1,0,0,0,0,0,0,1,1,,,1
100,82,18157.83,13,2,0,1,9.806857,0,1,0,0,0,0,0,1,4,9.957484,1,1
100,83,19440.41,13,3,0,1,9.875109,0,0,1,0,0,0,0,1,9,9.518798,1,1
100,84,21109.63,13,4,0,1,9.957484,0,0,0,1,0,0,0,1,16,9.96271,1,1
100,85,21367.92,13,5,0,1,9.969646,0,0,0,0,1,0,0,1,25,9.806857,1,1
100,86,21220.23,13,6,0,1,9.96271,0,0,0,0,0,1,0,1,36,9.424014,1,0
100,87,20942.48,13,7,0,1,9.949535,0,0,0,0,0,0,1,1,49,9.875109,1,
103,81,12238.54,12,0,0,1,9.412345,1,0,0,0,0,0,0,1,0,,,1
103,82,14334.86,12,1,1,1,9.57045,0,1,0,0,0,0,0,1,1,,1,1
103,83,12409.54,12,2,1,1,9.426221,0,0,1,0,0,0,0,1,4,9.587541,1,1
103,84,12761.4,12,3,1,1,9.454181,0,0,0,1,0,0,0,1,9,9.412345,0,1
103,85,14581.97,12,4,1,1,9.587541,0,0,0,0,1,0,0,1,16,9.609221,1,0
103,86,14901.55,12,5,1,1,9.609221,0,0,0,0,0,1,0,1,25,9.454181,1,1
103,87,,12,6,0,1,,0,0,0,0,0,0,1,0,36,9.949535,1,
104,81,,9,0,0,1,,1,0,0,0,0,0,0,0,0,,,0
104,82,,9,0,0,1,,0,1,0,0,0,0,0,0,0,,0,0
104,83,,9,0,0,1,,0,0,1,0,0,0,0,0,0,,0,0
104,84,,9,0,0,1,,0,0,0,1,0,0,0,0,0,9.426221,0,0
104,85,,9,0,0,1,,0,0,0,0,1,0,0,0,0,,1,0
104,86,,9,0,0,1,,0,0,0,0,0,1,0,0,0,,0,0
104,87,,9,0,0,1,,0,0,0,0,0,0,1,0,0,,0,
110,81,,12,0,0,1,,1,0,0,0,0,0,0,0,0,,,0
110,82,7335.62,12,0,0,1,8.900497,0,1,0,0,0,0,0,1,0,9.04115,1,1
110,83,9569.71,12,1,1,1,9.166358,0,0,1,0,0,0,0,1,1,8.900497,1,1
110,84,10385.24,12,2,1,1,9.248141,0,0,0,1,0,0,0,1,4,9.200685,1,1
110,85,8443.48,12,3,1,1,9.04115,0,0,0,0,1,0,0,1,9,,0,1
110,86,,12,4,0,1,,0,0,0,0,0,1,0,0,16,,0,1
110,87,9903.91,12,4,1,1,9.200685,0,0,0,0,0,0,1,1,16,9.166358,1,
111,81,23517.88,11,2,1,1,10.06552,1,0,0,0,0,0,0,1,4,,,0
111,82,23447.87,11,3,1,1,10.06254,0,1,0,0,0,0,0,1,9,10.0286,0,1
111,83,22665.44,11,4,1,1,10.0286,0,0,1,0,0,0,0,1,16,10.06552,1,1
111,84,,11,5,0,1,,0,0,0,1,0,0,0,0,25,,1,1
111,85,,11,5,0,1,,0,0,0,0,1,0,0,0,25,,1,0
111,86,,11,5,0,1,,0,0,0,0,0,1,0,0,25,9.248141,0,0
111,87,10082.77,11,5,0,1,9.218583,0,0,0,0,0,0,1,1,25,10.06254,1,
113,81,,13,0,0,1,,1,0,0,0,0,0,0,0,0,,,0
113,82,,13,0,0,1,,0,1,0,0,0,0,0,0,0,,0,0
113,83,,13,0,0,1,,0,0,1,0,0,0,0,0,0,,0,0
113,84,,13,0,0,1,,0,0,0,1,0,0,0,0,0,,0,0
113,85,8255.93,13,0,0,1,9.018687,0,0,0,0,1,0,0,1,0,,0,0
113,86,,13,1,0,1,,0,0,0,0,0,1,0,0,1,,1,0
113,87,,13,1,0,1,,0,0,0,0,0,0,1,0,1,9.218583,0,
114,81,,8,0,0,1,,1,0,0,0,0,0,0,0,0,,,0
114,82,,8,0,0,1,,0,1,0,0,0,0,0,0,0,,0,0
114,83,,8,0,0,1,,0,0,1,0,0,0,0,0,0,,0,0
114,84,,8,0,0,1,,0,0,0,1,0,0,0,0,0,9.018687,0,0
114,85,,8,0,0,1,,0,0,0,0,1,0,0,0,0,,0,0
114,86,,8,0,0,1,,0,0,0,0,0,1,0,0,0,,0,0
114,87,,8,0,0,1,,0,0,0,0,0,0,1,0,0,,0,
115,81,6506.36,10,1,0,1,8.780536,1,0,0,0,0,0,0,1,1,,,0
115,82,,10,2,0,1,,0,1,0,0,0,0,0,0,4,,0,0
115,83,,10,2,0,1,,0,0,1,0,0,0,0,0,4,,1,0
115,84,,10,2,0,1,,0,0,0,1,0,0,0,0,4,,1,0
115,85,,10,2,0,1,,0,0,0,0,1,0,0,0,4,,0,0
115,86,,10,2,0,1,,0,0,0,0,0,1,0,0,4,,0,1
115,87,5489.12,10,2,0,1,8.610523,0,0,0,0,0,0,1,1,4,,0,
119,81,13490.83,10,0,1,1,9.509766,1,0,0,0,0,0,0,1,0,,,1
119,82,,10,1,0,1,,0,1,0,0,0,0,0,0,1,,1,0
119,83,13874.66,10,1,1,1,9.53782,0,0,1,0,0,0,0,1,1,9.595368,1,0
119,84,13435.15,10,2,1,1,9.50563,0,0,0,1,0,0,0,1,4,9.53782,1,1
119,85,14696.56,10,3,1,1,9.595368,0,0,0,0,1,0,0,1,9,9.644907,0,1
119,86,15442.94,10,4,1,1,9.644907,0,0,0,0,0,1,0,1,16,,0,1
119,87,,10,5,0,1,,0,0,0,0,0,0,1,0,25,8.780536,1,
120,81,,10,0,0,1,,1,0,0,0,0,0,0,0,0,,,1
120,82,16440.28,10,0,1,1,9.70749,0,1,0,0,0,0,0,1,0,9.728019,1,1
120,83,,10,1,0,1,,0,0,1,0,0,0,0,0,1,9.509766,1,0
120,84,,10,1,0,1,,0,0,0,1,0,0,0,0,1,,1,0
120,85,9186.91,10,1,0,1,9.125535,0,0,0,0,1,0,0,1,1,,0,1
120,86,13624.35,10,2,0,1,9.519614,0,0,0,0,0,1,0,1,4,9.70749,1,0
120,87,16781.28,10,3,0,1,9.728019,0,0,0,0,0,0,1,1,9,9.125535,0,
121,81,,9,0,0,1,,1,0,0,0,0,0,0,0,0,,,0
121,82,,9,0,0,1,,0,1,0,0,0,0,0,0,0,9.519614,0,0
121,83,,9,0,0,1,,0,0,1,0,0,0,0,0,0,,0,0
121,84,,9,0,0,1,,0,0,0,1,0,0,0,0,0,,0,0
121,85,,9,0,0,1,,0,0,0,0,1,0,0,0,0,,1,0
121,86,,9,0,0,1,,0,0,0,0,0,1,0,0,0,,1,1
121,87,7312.32,9,0,0,1,8.897316,0,0,0,0,0,0,1,1,0,,0,
123,81,,12,0,0,1,,1,0,0,0,0,0,0,0,0,,,1
123,82,9862.39,12,0,0,1,9.196484,0,1,0,0,0,0,0,1,0,,0,1
123,83,9514.57,12,1,0,1,9.16058,0,0,1,0,0,0,0,1,1,9.322457,1,1
123,84,11186.44,12,2,0,1,9.322457,0,0,0,1,0,0,0,1,4,9.312084,1,1
123,85,11071,12,3,0,1,9.312084,0,0,0,0,1,0,0,1,9,9.196484,1,1
123,86,11622.63,12,4,0,1,9.360709,0,0,0,0,0,1,0,1,16,9.16058,0,1
123,87,10718.48,12,5,0,1,9.279725,0,0,0,0,0,0,1,1,25,9.360709,1,
125,81,,8,0,0,1,,1,0,0,0,0,0,0,0,0,,,0
125,82,,8,0,0,1,,0,1,0,0,0,0,0,0,0,,1,0
125,83,,8,0,0,1,,0,0,1,0,0,0,0,0,0,,0,0
125,84,,8,0,0,1,,0,0,0,1,0,0,0,0,0,,1,1
125,85,8310.59,8,0,0,1,9.025286,0,0,0,0,1,0,0,1,0,,0,0
125,86,8940.97,8,1,0,1,9.098399,0,0,0,0,0,1,0,1,1,9.025286,1,1
125,87,14493.31,8,2,0,1,9.581443,0,0,0,0,0,0,1,1,4,9.098399,0,
127,81,,10,2,0,1,,1,0,0,0,0,0,0,0,4,,,1
127,82,,10,2,0,1,,0,1,0,0,0,0,0,0,4,,0,0
127,83,,10,2,0,1,,0,0,1,0,0,0,0,0,4,,0,0
127,84,8490.31,10,2,0,1,9.04668,0,0,0,1,0,0,0,1,4,9.226427,1,0
127,85,416.44,10,3,0,1,6.031743,0,0,0,0,1,0,0,1,9,,1,1
127,86,,10,4,0,1,,0,0,0,0,0,1,0,0,16,9.581443,1,0
127,87,10162.17,10,4,0,1,9.226427,0,0,0,0,0,0,1,1,16,6.031743,0,
129,81,10134.74,8,2,0,1,9.223724,1,0,0,0,0,0,0,1,4,,,0
129,82,13600.09,8,3,0,1,9.517832,0,1,0,0,0,0,0,1,9,9.223724,1,1
