kids,morekids,boys2,girls2,boy1st,boy2nd,samesex,multi2nd,age,agefstm,black,hispan,worked,weeks,hours,labinc,faminc,nonmomi,educ,agesq
3,1,0,0,1,0,0,0,25,17,1,0,1,12,30,2.5295,27.61463,25.08511,12,625
3,1,0,0,0,1,0,0,34,19,1,0,0,0,0,0,12.60553,12.60553,12,1156
2,0,0,0,1,0,0,0,28,23,1,0,1,52,40,28.01347,56.40478,28.39131,18,784
3,1,0,0,0,1,0,1,29,22,1,0,1,52,40,25.20058,60.897,35.69644,17,841
2,0,1,0,1,1,1,0,25,18,1,0,1,50,40,17.85347,45.15322,27.29975,12,625
2,0,0,0,0,1,0,0,26,21,1,0,1,36,5,3.89397,20.69784,16.80388,14,676
3,1,0,0,1,0,0,0,26,21,1,0,0,0,0,0,12.61603,12.61603,16,676
2,0,0,1,0,0,1,0,34,19,1,0,1,52,40,16.25809,35.16116,18.90305,12,1156
2,0,0,0,0,1,0,0,25,18,1,0,1,52,40,31.49809,62.99619,31.49809,11,625
2,0,0,1,0,0,1,0,29,20,1,0,1,48,40,12.60553,33.51328,20.90777,15,841
3,1,1,0,1,1,1,0,30,19,1,0,0,0,0,0,46.38122,46.38122,13,900
2,0,0,1,0,0,1,0,35,25,1,0,1,52,40,12.60553,73.12469,60.51916,12,1225
2,0,0,1,0,0,1,0,34,24,1,0,1,50,40,21.00222,74.49963,53.49744,12,1156
4,1,0,0,0,1,0,0,34,19,1,0,1,36,40,9.45677,24.58131,15.12454,11,1156
2,0,0,0,1,0,0,0,23,17,1,0,1,52,40,16.04818,24.07752,8.02934,12,529
3,1,0,0,0,1,0,0,29,16,1,0,1,52,40,29.39892,62.99619,33.59725,12,841
4,1,0,0,0,1,0,0,33,20,1,0,0,0,0,0,11.9443,11.9443,12,1089
3,1,0,0,1,0,0,0,33,19,1,0,0,0,0,0,21.00222,21.00222,8,1089
3,1,0,0,1,0,0,0,34,19,1,0,0,0,0,0,54.589,54.589,12,1156
2,0,0,0,0,1,0,0,25,17,1,0,1,36,35,6.30802,20.18355,13.87553,12,625
4,1,1,0,1,1,1,0,24,17,1,0,1,20,40,4.20884,33.47131,29.26247,12,576
2,0,1,0,1,1,1,0,34,25,0,1,0,0,0,0,6.30802,6.30802,12,1156
2,0,0,0,1,0,0,0,32,23,0,1,0,0,0,0,39.89478,39.89478,7,1024
3,1,0,0,1,0,0,0,24,20,1,0,0,0,0,0,14.13793,14.13793,9,576
3,1,0,0,0,1,0,0,25,20,1,0,1,52,50,12.08074,14.25338,2.17264,14,625
4,1,1,0,1,1,1,0,35,17,0,1,1,52,40,18.88206,45.49956,26.61752,7,1225
5,1,0,0,1,0,0,0,31,15,1,0,1,52,40,13.65512,32.83106,19.17594,12,961
3,1,1,0,1,1,1,0,29,21,1,0,1,12,36,2.5295,34.56288,32.03338,14,841
4,1,0,0,0,1,0,0,30,17,1,0,1,4,35,4.20884,25.21106,21.00222,12,900
3,1,1,0,1,1,1,0,32,19,1,0,1,27,40,26.25016,70.9835,44.73338,13,1024
3,1,0,0,1,0,0,0,28,17,1,0,1,48,7,8.84802,29.9342,21.08619,12,784
2,0,0,1,0,0,1,0,29,25,1,0,1,30,40,21.00222,54.66247,33.66022,16,841
2,0,1,0,1,1,1,0,34,20,1,0,1,46,40,14.49479,18.38875,3.89397,13,1156
2,0,0,1,0,0,1,0,30,26,1,0,1,48,40,27.21578,42.55022,15.33446,16,900
2,0,0,1,0,0,1,0,27,19,1,0,1,51,30,10.50636,47.25238,36.74603,12,729
2,0,1,0,1,1,1,0,34,22,1,0,1,4,40,6.30802,33.60775,27.29975,13,1156
2,0,0,0,1,0,0,0,33,26,1,0,1,52,38,25.11661,51.36675,26.25016,14,1089
3,1,0,0,1,0,0,0,25,19,1,0,1,8,15,.05248,21.0547,21.00222,11,625
2,0,0,0,0,1,0,0,32,24,1,0,0,0,0,0,10.50636,10.50636,12,1024
3,1,1,0,1,1,1,0,27,15,1,0,0,0,0,0,6.41297,6.41297,10,729
2,0,1,0,1,1,1,0,26,19,1,0,0,0,0,0,48.29147,48.29147,13,676
3,1,1,0,1,1,1,0,35,24,1,0,1,20,36,4.20884,42.00444,37.79559,16,1225
3,1,0,0,1,0,0,0,33,18,1,0,0,0,0,0,25.20058,25.20058,12,1089
2,0,0,0,1,0,0,0,33,22,1,0,1,52,40,31.49809,70.76313,39.26503,18,1089
2,0,0,1,0,0,1,0,35,22,0,1,1,52,40,9.876611,41.37469,31.49809,12,1225
2,0,0,1,0,0,1,0,30,17,1,0,1,51,40,29.39892,58.79784,29.39892,12,900
3,1,0,0,0,1,0,0,28,20,1,0,1,44,40,10.50636,39.90528,29.39892,14,784
3,1,1,0,1,1,1,0,31,22,1,0,1,16,40,2.10967,31.50859,29.39892,12,961
3,1,1,0,1,1,1,0,28,20,1,0,1,22,35,4.75463,40.45106,35.69644,14,784
2,0,0,1,0,0,1,0,26,22,1,0,0,0,0,0,36.28419,36.28419,14,676
2,0,0,1,0,0,1,0,27,21,1,0,1,50,40,16.80388,42.00444,25.20058,12,729
2,0,0,0,0,1,0,0,29,22,1,0,0,0,0,0,18.90305,18.90305,12,841
2,0,0,0,0,1,0,0,27,19,1,0,1,52,38,11.57694,45.74097,34.16403,12,729
3,1,0,1,0,0,1,0,35,24,1,0,1,50,40,19.95264,24.68627,4.73363,16,1225
4,1,1,0,1,1,1,0,32,17,1,0,1,32,40,16.489,39.59041,23.10139,12,1024
2,0,1,0,1,1,1,0,25,16,1,0,1,52,30,24.70727,54.11669,39.91578,12,625
3,1,0,0,0,1,0,0,26,17,1,0,0,0,0,0,8.34421,8.34421,12,676
3,1,0,0,1,0,0,0,23,17,1,0,1,40,9,2.73942,19.75322,17.0138,10,529
2,0,1,0,1,1,1,0,35,22,0,1,1,50,40,20.26752,49.44603,29.1785,15,1225
2,0,0,1,0,0,1,0,31,20,1,0,1,48,40,17.85347,30.85784,13.00438,13,961
3,1,0,1,0,0,1,0,30,19,1,0,1,32,8,5.04851,5.04851,0,12,900
3,1,0,1,0,0,1,0,30,22,0,1,1,24,40,8.197269,21.68445,13.48719,14,900
2,0,0,1,0,0,1,0,29,24,1,0,1,52,40,16.80388,52.50031,35.69644,15,841
3,1,0,0,0,1,0,0,32,21,1,0,1,52,40,21.00222,42.00444,21.00222,15,1024
3,1,0,0,0,1,0,0,28,22,1,0,1,40,40,14.28488,43.1275,28.84264,14,784
5,1,0,1,0,0,1,0,35,17,1,0,0,0,0,0,45.34213,45.34213,11,1225
3,1,0,0,1,0,0,0,29,17,1,0,1,52,40,8.40719,35.70694,27.29975,13,841
2,0,0,0,1,0,0,0,24,19,1,0,1,26,80,4.92256,32.22231,27.29975,14,576
3,1,0,1,0,0,1,0,34,24,1,0,1,30,40,3.22223,23.23784,20.01561,12,1156
2,0,0,1,0,0,1,0,27,23,1,0,1,12,22,2.10967,33.78619,31.67652,14,729
2,0,0,0,0,1,0,0,31,21,1,0,1,50,40,18.90305,56.69866,37.79559,12,961
2,0,1,0,1,1,1,0,29,22,1,0,1,36,40,23.10139,52.50031,29.39892,17,841
2,0,0,1,0,0,1,0,28,21,1,0,1,52,24,12.60553,22.44016,9.83463,13,784
4,1,0,0,0,1,0,0,34,20,1,0,1,52,40,10.50636,69.29369,58.78734,12,1156
2,0,0,0,0,1,0,0,23,18,1,0,0,0,0,0,31.49809,31.49809,12,529
2,0,0,1,0,0,1,0,25,19,1,0,1,52,40,13.65512,26.26066,12.60553,13,625
2,0,0,1,0,0,1,0,30,22,1,0,1,52,40,46.19231,84.84856,38.65625,14,900
3,1,0,0,1,0,0,0,35,19,1,0,0,0,0,0,31.36164,31.36164,11,1225
3,1,1,0,1,1,1,0,30,22,1,0,1,40,15,3.15926,38.85569,35.69644,16,900
2,0,0,0,1,0,0,0,31,22,1,0,1,42,40,35.69644,79.80006,44.10363,14,961
3,1,1,0,1,1,1,0,35,18,1,0,1,52,40,14.20091,39.307,25.10611,12,1225
4,1,0,0,1,0,0,0,31,16,1,0,0,0,0,0,21.0652,21.0652,12,961
2,0,0,0,1,0,0,0,30,22,1,0,1,52,40,41.99394,83.98788,41.99394,16,900
2,0,0,0,1,0,0,0,29,20,1,0,0,0,0,0,18.90305,18.90305,12,841
2,0,0,0,0,1,0,0,30,19,1,0,1,28,32,10.50636,60.82353,50.31719,12,900
2,0,0,0,1,0,0,0,29,21,1,0,0,0,0,0,1.68983,1.68983,14,841
3,1,0,0,1,0,0,0,31,19,1,0,1,51,40,18.21033,48.88975,30.67941,13,961
2,0,1,0,1,1,1,0,26,21,1,0,1,52,40,14.7047,46.20278,31.49809,14,676
4,1,0,0,0,1,0,0,34,21,1,0,0,0,0,0,22.05181,22.05181,12,1156
2,0,0,0,1,0,0,0,26,19,1,0,1,52,40,20.89727,27.42569,6.52843,14,676
2,0,1,0,1,1,1,0,28,21,1,0,1,52,40,32.63164,82.64444,50.01278,15,784
3,1,1,0,1,1,1,0,30,21,1,0,0,0,0,0,54.589,54.589,12,900
3,1,1,0,1,1,1,0,25,18,1,0,1,36,40,14.38983,55.75403,41.36419,12,625
2,0,0,1,0,0,1,0,31,20,1,0,1,42,40,14.7047,38.90816,24.20347,15,961
2,0,1,0,1,1,1,0,24,18,1,0,0,0,0,0,36.29469,36.29469,12,576
3,1,0,0,1,0,0,0,32,22,1,0,0,0,0,0,46.19231,46.19231,12,1024
2,0,0,0,1,0,0,0,26,19,1,0,1,52,40,10.27545,30.43802,20.16255,12,676
2,0,1,0,1,1,1,0,34,25,1,0,1,52,40,23.10139,69.29369,46.19231,12,1156
2,0,0,1,0,0,1,0,27,21,1,0,1,52,40,10.50636,51.25131,40.74494,12,729
3,1,1,0,1,1,1,0,30,21,1,0,1,48,38,30.4485,101.5685,71.12,16,900
2,0,0,0,1,0,0,0,35,26,1,0,1,52,40,25.20058,50.40116,25.20058,13,1225
2,0,0,1,0,0,1,0,32,22,1,0,1,42,15,1.68983,22.69206,21.00222,16,1024
2,0,1,0,1,1,1,0,25,19,1,0,1,50,40,14.7047,58.79784,44.09313,12,625
3,1,1,0,1,1,1,0,29,23,0,1,1,16,25,2.5295,79.19131,76.66181,12,841
3,1,0,0,0,1,0,0,29,18,1,0,1,12,39,2.10967,27.31023,25.20058,12,841
3,1,0,0,0,1,0,0,27,20,1,0,0,0,0,0,26.89041,26.89041,12,729
2,0,0,0,1,0,0,0,27,21,1,0,0,0,0,0,27.29975,27.29975,11,729
2,0,0,0,1,0,0,0,25,18,1,0,1,45,40,23.10139,55.44966,32.34825,12,625
3,1,1,0,1,1,1,0,31,21,1,0,0,0,0,0,29.23098,29.23098,12,961
2,0,0,1,0,0,1,0,31,16,1,0,1,43,32,10.50636,29.92372,19.41734,12,961
4,1,1,0,1,1,1,0,28,19,1,0,0,0,0,0,29.25197,29.25197,12,784
3,1,0,1,0,0,1,0,31,23,1,0,0,0,0,0,46.19231,46.19231,12,961
3,1,0,0,0,1,0,0,27,18,1,0,1,36,32,10.9262,44.30303,33.37684,14,729
2,0,0,0,0,1,0,0,29,21,1,0,1,52,40,18.90305,69.29369,50.39066,12,841
2,0,0,1,0,0,1,0,24,20,1,0,1,25,40,8.40719,46.20278,37.79559,12,576
2,0,0,0,1,0,0,0,30,20,1,0,0,0,0,0,52.50031,52.50031,14,900
3,1,1,0,1,1,1,0,28,18,0,1,0,0,0,0,0,0,11,784
2,0,0,0,0,1,0,0,23,15,1,0,0,0,0,0,25.11661,25.11661,11,529
2,0,0,1,0,0,1,0,32,27,1,0,0,0,0,0,48.91072,48.91072,17,1024
4,1,1,0,1,1,1,0,33,24,1,0,1,20,35,5.19545,55.58609,50.39066,17,1089
2,0,1,0,1,1,1,0,33,23,1,0,1,36,35,27.29975,59.6375,32.33777,16,1089
2,0,0,1,0,0,1,0,27,21,1,1,0,0,0,0,9.666691,9.666691,11,729
3,1,1,0,1,1,1,0,35,24,1,0,1,49,21,7.21066,12.57405,5.36339,12,1225
4,1,1,0,1,1,1,0,27,17,1,0,1,37,47,18.90305,53.75981,34.85675,13,729
2,0,0,0,0,1,0,0,33,22,1,0,1,47,40,22.05181,53.54991,31.49809,16,1089
7,1,0,0,1,0,0,0,29,19,1,0,1,2,32,.7452101,17.54908,16.80388,13,841
4,1,0,1,0,0,1,0,34,19,1,0,1,43,32,9.93959,55.23975,45.30016,12,1156
3,1,1,0,1,1,1,0,27,16,1,0,1,40,40,7.56752,36.96644,29.39892,12,729
2,0,0,0,1,0,0,0,24,18,1,0,1,10,20,.85017,21.85239,21.00222,8,576
5,1,0,0,1,0,0,0,30,20,1,0,1,28,10,2.10967,157.438,155.3282,14,900
3,1,0,0,0,1,0,0,30,19,1,0,1,30,40,10.50636,88.19675,77.69038,12,900
3,1,0,1,0,0,1,0,29,18,1,0,1,52,40,22.05181,68.24413,46.19231,14,841
2,0,0,0,0,1,0,0,34,23,1,0,1,52,40,33.59725,79.78957,46.19231,12,1156
2,0,0,1,0,0,1,0,33,23,1,0,0,0,0,0,54.31609,54.31609,12,1089
3,1,1,0,1,1,1,0,34,20,1,0,0,0,0,0,37.79559,37.79559,12,1156
2,0,0,1,0,0,1,0,23,19,1,0,1,18,40,8.40719,56.69866,48.29147,17,529
2,0,1,0,1,1,1,0,33,21,1,0,1,52,40,41.99394,86.318,44.32403,12,1089
2,0,0,1,0,0,1,0,30,25,0,1,0,0,0,0,39.89478,39.89478,12,900
4,1,0,1,0,0,1,0,33,17,1,0,1,24,80,6.30802,39.90528,33.59725,12,1089
4,1,0,0,1,0,0,0,30,17,1,0,0,0,0,0,40.46156,40.46156,11,900
3,1,1,0,1,1,1,0,23,16,1,0,1,30,40,10.50636,31.50859,21.00222,9,529
3,1,0,1,0,0,1,0,27,18,1,0,0,0,0,0,74.8355,74.8355,12,729
2,0,0,0,0,1,0,0,30,18,1,0,1,28,40,13.02537,50.83147,37.80609,12,900
3,1,0,0,0,1,0,0,29,19,1,0,0,0,0,0,17.65405,17.65405,12,841
2,0,0,0,0,1,0,0,27,23,1,0,1,47,40,10.29645,23.32181,13.02537,12,729
4,1,0,0,1,0,0,0,32,20,1,0,1,18,40,7.14768,40.74494,33.59725,20,1024
3,1,0,0,1,0,0,0,31,18,1,0,1,52,40,8.40719,33.60775,25.20058,11,961
3,1,1,0,1,1,1,0,23,15,1,0,0,0,0,0,50.39066,50.39066,12,529
3,1,0,0,1,0,0,0,31,21,1,0,1,52,40,2.5295,15.13504,12.60553,10,961
2,0,0,0,1,0,0,0,26,20,1,0,1,52,25,10.50636,23.11189,12.60553,13,676
2,0,0,0,0,1,0,0,33,20,1,0,1,52,40,32.54767,70.34325,37.79559,18,1089
3,1,0,1,0,0,1,0,26,16,1,0,1,16,40,4.20884,28.37033,24.16148,12,676
2,0,0,0,1,0,0,0,31,21,1,0,1,46,40,13.99098,62.27197,48.28097,13,961
2,0,0,1,0,0,1,0,29,24,1,0,1,52,7,26.25016,51.45072,25.20058,16,841
2,0,0,0,1,0,0,0,27,22,1,0,0,0,0,0,21.96784,21.96784,12,729
2,0,0,0,1,0,0,0,34,27,1,0,0,0,0,0,56.03744,56.03744,16,1156
2,0,0,0,0,1,0,0,27,17,1,0,1,52,40,16.80388,52.50031,35.69644,12,729
2,0,0,0,1,0,0,0,30,21,1,0,1,52,40,16.80388,60.897,44.09313,14,900
2,0,0,0,1,0,0,0,29,18,1,0,1,52,50,46.19231,76.24194,30.04966,13,841
2,0,0,0,1,0,0,0,35,27,1,0,1,52,40,33.84916,53.69684,19.84767,17,1225
2,0,1,0,1,1,1,0,25,17,1,0,1,5,40,16.80388,41.58463,24.78073,11,625
2,0,0,0,1,0,0,0,29,19,1,0,0,0,0,0,25.20058,25.20058,11,841
3,1,0,0,1,0,0,0,30,22,1,0,1,52,40,21.31709,47.92413,26.60702,14,900
5,1,0,0,0,1,0,0,26,16,1,0,0,0,0,0,21.43255,21.43255,14,676
2,0,0,1,0,0,1,0,33,17,1,0,1,52,40,41.99394,69.29369,27.29975,12,1089
4,1,1,0,1,1,1,0,35,19,1,0,1,9,40,2.2776,10.68479,8.40719,11,1225
2,0,0,0,0,1,0,0,33,22,1,0,0,0,0,0,16.80388,16.80388,12,1089
2,0,0,0,0,1,0,0,30,18,1,0,1,12,40,3.78901,28.71669,24.92767,12,900
4,1,0,1,0,0,1,0,26,19,1,0,1,30,40,10.50636,23.61569,13.10934,7,676
5,1,0,0,1,0,0,0,34,20,1,0,0,0,0,0,28.41231,28.41231,11,1156
4,1,0,0,1,0,0,0,27,16,1,0,1,15,40,3.0333,19.83719,16.80388,7,729
3,1,1,0,1,1,1,0,25,18,1,0,0,0,0,0,8.09231,8.09231,12,625
3,1,0,0,1,0,0,0,33,23,1,0,1,52,40,14.55777,23.85709,9.29934,13,1089
4,1,0,0,0,1,0,0,28,19,1,0,0,0,0,0,18.90305,18.90305,10,784
3,1,0,0,1,0,0,0,24,15,1,0,1,12,30,.95512,13.56066,12.60553,8,576
3,1,0,0,1,0,0,0,28,18,1,0,1,43,40,10.50636,35.70694,25.20058,12,784
3,1,0,0,1,0,0,0,27,20,1,0,0,0,0,0,8.40719,8.40719,10,729
3,1,1,0,1,1,1,0,27,16,1,0,1,24,34,4.20884,37.81659,33.60775,13,729
2,0,0,0,0,1,0,0,33,23,1,0,1,52,40,11.76587,55.35519,43.58931,12,1089
3,1,1,0,1,1,1,0,23,18,1,0,1,48,40,21.00222,44.10363,23.10139,12,529
4,1,0,0,1,0,0,0,30,21,1,0,1,20,5,1.89975,3.7995,1.89975,12,900
5,1,0,0,0,1,0,0,23,16,1,0,1,26,40,.64025,11.14661,10.50636,10,529
3,1,0,0,0,1,0,0,31,16,1,0,1,52,40,8.40719,35.70694,27.29975,10,961
6,1,0,0,0,1,0,0,35,21,1,0,1,52,40,18.90305,43.05403,24.15098,10,1225
2,0,0,0,1,0,0,0,31,20,1,0,1,52,72,20.75033,52.41634,31.66603,11,961
2,0,0,0,0,1,0,0,31,25,1,0,0,0,0,0,8.207769,8.207769,12,961
3,1,1,0,1,1,1,0,25,18,1,0,0,0,0,0,46.19231,46.19231,11,625
5,1,0,0,1,0,0,0,31,16,1,0,0,0,0,0,12.52156,12.52156,10,961
3,1,1,0,1,1,1,0,32,16,1,0,1,52,40,21.00222,60.897,39.89478,10,1024
2,0,0,0,0,1,0,0,26,16,1,0,1,52,40,18.90305,42.00444,23.10139,10,676
3,1,0,0,1,0,0,0,28,20,1,0,1,52,30,12.60553,27.73008,15.12454,12,784
5,1,0,1,0,0,1,0,31,23,1,0,0,0,0,0,18.90305,18.90305,7,961
2,0,0,0,1,0,0,0,22,18,1,0,1,52,40,11.34603,49.15213,37.80609,12,484
4,1,1,0,1,1,1,0,33,15,1,0,0,0,0,0,0,0,8,1089
3,1,1,0,1,1,1,0,29,19,1,0,1,6,40,.43033,35.5495,35.11916,15,841
2,0,0,1,0,0,1,0,28,22,1,0,1,30,40,8.1343,30.77388,22.63958,13,784
2,0,0,0,1,0,0,0,29,20,1,0,1,37,40,28.60123,62.67081,34.06956,18,841
2,0,0,0,1,0,0,0,26,22,1,0,1,50,32,9.98156,32.2643,22.28272,12,676
2,0,1,0,1,1,1,0,25,21,1,0,0,0,0,0,21.21214,21.21214,12,625
2,0,0,0,0,1,0,0,35,24,1,0,1,36,35,28.34933,49.35156,21.00222,18,1225
5,1,0,1,0,0,1,0,24,17,1,0,0,0,0,0,18.90305,18.90305,11,576
2,0,1,0,1,1,1,0,24,15,1,0,1,52,32,13.65512,39.13906,25.48395,12,576
3,1,1,0,1,1,1,0,27,16,1,0,1,9,40,2.46653,2.77091,.30438,9,729
4,1,1,0,1,1,1,0,31,19,1,0,1,42,40,9.45677,14.37934,4.92256,11,961
2,0,0,1,0,0,1,0,22,17,1,0,1,47,40,10.86322,32.14883,21.28561,12,484
5,1,0,0,1,0,0,0,26,17,1,0,0,0,0,0,3.78901,3.78901,8,676
5,1,1,0,1,1,1,0,32,17,1,0,0,0,0,0,41.99394,41.99394,10,1024
3,1,0,0,1,0,0,0,33,17,1,0,1,50,40,9.45677,73.86988,64.41313,7,1089
4,1,0,1,0,0,1,0,32,22,1,0,0,0,0,0,23.29033,23.29033,5,1024
2,0,0,1,0,0,1,0,26,20,1,0,1,52,40,17.55958,48.95272,31.39313,12,676
2,0,1,0,1,1,1,0,27,16,1,0,1,52,40,58.15759,116.3152,58.15759,11,729
2,0,0,0,1,0,0,0,27,16,1,0,1,38,44,29.39892,58.79784,29.39892,10,729
2,0,0,0,1,0,0,0,28,19,1,0,1,52,40,20.75033,52.41634,31.66603,14,784
2,0,1,0,1,1,1,0,30,20,1,0,1,52,40,3.47413,7.68297,4.20884,12,900
3,1,0,1,0,0,1,0,28,23,1,0,1,40,40,12.60553,33.60775,21.00222,16,784
3,1,0,0,1,0,0,0,32,18,1,0,0,0,0,0,9.83463,9.83463,9,1024
2,0,1,0,1,1,1,0,27,19,1,0,0,0,0,0,37.79559,37.79559,12,729
3,1,0,1,0,0,1,0,33,19,1,0,0,0,0,0,19.14445,19.14445,11,1089
2,0,0,1,0,0,1,0,35,22,1,0,1,52,40,12.60553,27.31023,14.7047,12,1225
2,0,0,0,0,1,0,0,30,19,1,0,0,0,0,0,3.15926,3.15926,11,900
3,1,0,0,0,1,0,0,34,17,1,0,1,46,48,19.7847,47.08444,27.29975,11,1156
3,1,0,1,0,0,1,0,28,20,1,0,0,0,0,0,33.59725,33.59725,12,784
3,1,0,0,0,1,0,0,28,18,1,0,1,52,40,14.7047,37.80609,23.10139,12,784
3,1,0,1,0,0,1,0,35,19,1,0,1,36,40,24.6128,63.97231,39.3595,17,1225
3,1,0,0,1,0,0,0,29,15,1,0,1,52,40,16.80388,48.30197,31.49809,11,841
3,1,0,0,0,1,0,0,35,20,1,0,1,48,36,17.70652,36.8195,19.11297,10,1225
4,1,1,0,1,1,1,0,35,25,1,0,0,0,0,0,21.00222,21.00222,9,1225
3,1,0,0,1,0,0,0,31,21,1,0,0,0,0,0,26.15569,26.15569,11,961
2,0,1,0,1,1,1,0,33,18,1,0,1,52,40,25.20058,71.39288,46.19231,12,1089
2,0,1,0,1,1,1,0,28,19,1,0,1,52,40,22.15677,25.29503,3.13826,12,784
3,1,0,0,1,0,0,0,33,19,1,0,1,52,40,23.10139,39.90528,16.80388,12,1089
5,1,0,1,0,0,1,0,35,21,1,0,0,0,0,0,12.6895,12.6895,5,1225
2,0,0,0,0,1,0,0,35,20,1,0,1,36,40,8.40719,41.76303,33.35584,9,1225
4,1,0,0,1,0,0,0,30,16,1,0,1,52,48,35.69644,71.39288,35.69644,11,900
2,0,0,0,0,1,0,0,32,17,1,0,1,52,40,16.80388,33.60775,16.80388,11,1024
3,1,0,1,0,0,1,0,34,24,1,0,1,36,8,29.39892,53.66534,24.26644,20,1156
5,1,0,1,0,0,1,0,35,17,1,0,1,44,40,10.75826,28.59073,17.83247,13,1225
3,1,0,0,1,0,0,0,28,17,1,0,1,43,44,14.7047,48.30197,33.59725,12,784
2,0,0,0,0,1,0,0,31,23,1,0,1,52,40,29.39892,79.78957,50.39066,14,961
6,1,0,0,1,0,0,0,30,16,1,0,0,0,0,0,.64025,.64025,5,900
2,0,0,0,0,1,0,0,35,22,1,0,0,0,0,0,11.89181,11.89181,12,1225
3,1,1,0,1,1,1,0,32,19,1,0,1,52,40,16.80388,50.40116,33.59725,12,1024
2,0,1,0,1,1,1,0,31,18,1,0,1,44,8,16.80388,44.10363,27.29975,10,961
3,1,0,0,0,1,0,0,24,19,1,0,0,0,0,0,17.43363,17.43363,10,576
2,0,0,0,0,1,0,0,29,22,1,0,1,40,38,6.43396,38.0685,31.63453,11,841
2,0,0,1,0,0,1,0,34,29,0,1,0,0,0,0,46.89553,46.89553,16,1156
2,0,0,0,0,1,0,0,28,23,1,0,1,20,40,1.47992,7.93488,6.45496,12,784
3,1,0,1,0,0,1,0,32,16,1,0,1,52,40,25.07463,37.68016,12.60553,14,1024
2,0,0,0,0,1,0,0,29,23,1,0,1,52,40,24.57081,72.86231,48.29147,18,841
2,0,0,1,0,0,1,0,32,24,1,0,1,28,40,8.40719,17.2552,8.84802,17,1024
