distid,schid,lunch,enrol,exppp,math4,year,cpi,rexppp,lrexpp,lenrol,avgrexp,lavgrexp,tobs,lavgrexpb,lunchb,lenrolb,y94,y95,y96,y97,y98,y95b,y96b,y97b,y98b
82010,5,92.37,848,4446,31,1997,1.605,4446,8.39976,6.742881,4311.366,8.405807,4,8.3780308,88.4025,6.6895655,0,0,0,1,0,.25,.25,.25,.25
82010,5,78.49,806,4985,31,1998,1.63,4908.543,8.498733,6.692084,4311.366,8.45047,4,8.3780308,88.4025,6.6895655,0,0,0,0,1,.25,.25,.25,.25
81010,6,12.4,497,2538,66.2,1994,1.482,2748.644,7.918863,6.20859,3920.781,7.935169,5,8.2700852,13.096,6.133235,1,0,0,0,0,.2,.2,.2,.2
81010,6,11.03,473,4059,71.8,1995,1.524,4274.734,8.360477,6.159095,3920.781,8.163853,5,8.2700852,13.096,6.133235,0,1,0,0,0,.2,.2,.2,.2
81010,6,10.7,450,4605,69.1,1996,1.569,4710.66,8.457583,6.109248,3920.781,8.410209,5,8.2700852,13.096,6.133235,0,0,1,0,0,.2,.2,.2,.2
81010,6,15.25,449,4498,53.3,1997,1.605,4498,8.411388,6.107023,3920.781,8.434752,5,8.2700852,13.096,6.133235,0,0,0,1,0,.2,.2,.2,.2
81010,6,16.1,438,4523,75,1998,1.63,4453.629,8.401475,6.082219,3920.781,8.406444,5,8.2700852,13.096,6.133235,0,0,0,0,1,.2,.2,.2,.2
41110,14,1.8,488,4076,98.7,1994,1.482,4414.292,8.392603,6.190315,4457.47,8.304923,5,8.419243,2.656,6.2042385,1,0,0,0,0,.2,.2,.2,.2
41110,14,2.32,517,4065,98.9,1995,1.524,4281.053,8.361955,6.248043,4457.47,8.377396,5,8.419243,2.656,6.2042385,0,1,0,0,0,.2,.2,.2,.2
41110,14,2.63,495,4980,97.1,1996,1.569,5094.264,8.535871,6.204558,4457.47,8.452688,5,8.419243,2.656,6.2042385,0,0,1,0,0,.2,.2,.2,.2
41110,14,2.3,479,4919,100,1997,1.605,4919,8.50086,6.1717,4457.47,8.518518,5,8.419243,2.656,6.2042385,0,0,0,1,0,.2,.2,.2,.2
41110,14,4.23,496,4431,100,1998,1.63,4363.04,8.380924,6.206576,4457.47,8.44269,5,8.419243,2.656,6.2042385,0,0,0,0,1,.2,.2,.2,.2
56010,16,7.3,543,3563,70.7,1994,1.482,3858.715,8.258089,6.297109,4019.022,8.237287,5,8.2962963,7.914,6.3323265,1,0,0,0,0,.2,.2,.2,.2
56010,16,8.87,565,4136,94.4,1995,1.524,4355.827,8.37927,6.336826,4019.022,8.320514,5,8.2962963,7.914,6.3323265,0,1,0,0,0,.2,.2,.2,.2
56010,16,9.75,601,3768,92.9,1996,1.569,3854.455,8.256985,6.398595,4019.022,8.319995,5,8.2962963,7.914,6.3323265,0,0,1,0,0,.2,.2,.2,.2
56010,16,6.37,594,3935,89.7,1997,1.605,3935,8.277666,6.386879,4019.022,8.267379,5,8.2962963,7.914,6.3323265,0,0,0,1,0,.2,.2,.2,.2
56010,16,7.28,514,4479,99,1998,1.63,4410.304,8.391699,6.242223,4019.022,8.336308,5,8.2962963,7.914,6.3323265,0,0,0,0,1,.2,.2,.2,.2
82095,20,5.91,366,4120,69,1996,1.569,4214.532,8.346293,5.902633,4202.968,8.322545,3,8.343386,6.1733333,5.9231593,0,0,1,0,0,0,.33333333,.33333333,.33333333
82095,20,6.58,371,4191,55.6,1997,1.605,4191,8.340694,5.916202,4202.968,8.343498,3,8.343386,6.1733333,5.9231593,0,0,0,1,0,0,.33333333,.33333333,.33333333
82095,20,6.03,384,4458,56,1998,1.63,4389.626,8.386999,5.950643,4202.968,8.364115,3,8.343386,6.1733333,5.9231593,0,0,0,0,1,0,.33333333,.33333333,.33333333
63060,24,35.58,536,5505,63.9,1996,1.569,5631.31,8.636097,6.284134,5706.085,8.610803,3,8.6675768,41.326668,6.1884041,0,0,1,0,0,0,.33333333,.33333333,.33333333
63060,24,40.24,451,6193,41.8,1997,1.605,6193,8.731174,6.111467,5706.085,8.684766,3,8.6675768,41.326668,6.1884041,0,0,0,1,0,0,.33333333,.33333333,.33333333
63060,24,48.16,478,5991,73,1998,1.63,5899.113,8.682557,6.169611,5706.085,8.707162,3,8.6675768,41.326668,6.1884041,0,0,0,0,1,0,.33333333,.33333333,.33333333
79010,33,47.31,167,4419,72.7,1996,1.569,4520.392,8.416354,5.117994,3459.742,8.344867,3,8.2317216,45.276667,5.4438295,0,0,1,0,0,0,.33333333,.33333333,.33333333
79010,33,44.63,284,3341,48.5,1997,1.605,3341,8.114025,5.648974,3459.742,8.276572,3,8.2317216,45.276667,5.4438295,0,0,0,1,0,0,.33333333,.33333333,.33333333
79010,33,43.89,261,3125,66,1998,1.63,3077.071,8.031734,5.56452,3459.742,8.073726,3,8.2317216,45.276667,5.4438295,0,0,0,0,1,0,.33333333,.33333333,.33333333
33130,37,18.7,394,3150,65.2,1994,1.482,3411.437,8.134889,5.976351,3838.508,8.059976,5,8.2633396,22.8,5.9417451,1,0,0,0,0,.2,.2,.2,.2
33130,37,22.7,397,3865,86.2,1995,1.524,4070.423,8.311502,5.983936,3838.508,8.22709,5,8.2633396,22.8,5.9417451,0,1,0,0,0,.2,.2,.2,.2
33130,37,26.45,375,4113,95.7,1996,1.569,4207.371,8.344593,5.926926,3838.508,8.328185,5,8.2633396,22.8,5.9417451,0,0,1,0,0,.2,.2,.2,.2
33130,37,26.71,389,4303,76.8,1997,1.605,4303,8.367067,5.963579,3838.508,8.355894,5,8.2633396,22.8,5.9417451,0,0,0,1,0,.2,.2,.2,.2
33130,37,19.44,350,4184,86,1998,1.63,4119.828,8.323566,5.857933,3838.508,8.345553,5,8.2633396,22.8,5.9417451,0,0,0,0,1,.2,.2,.2,.2
73110,41,56.7,194,3646,36.6,1995,1.524,3839.784,8.253171,5.267858,4070.49,8.130518,4,8.3150573,55.4025,5.1616707,0,1,0,0,0,.25,.25,.25,.25
73110,41,59.33,151,4230,42.9,1996,1.569,4327.056,8.372643,5.01728,4070.49,8.31469,4,8.3150573,55.4025,5.1616707,0,0,1,0,0,.25,.25,.25,.25
73110,41,52.35,170,4371,26.5,1997,1.605,4371,8.382747,5.135798,4070.49,8.377707,4,8.3150573,55.4025,5.1616707,0,0,0,1,0,.25,.25,.25,.25
73110,41,53.23,186,4937,91,1998,1.63,4861.279,8.489057,5.225747,4070.49,8.437314,4,8.3150573,55.4025,5.1616707,0,0,0,0,1,.25,.25,.25,.25
82160,43,22.9,623,2096,40.2,1994,1.482,2269.959,7.727517,6.434546,3021.972,7.668389,4,7.9914035,24.225,6.3592502,1,0,0,0,0,.25,.25,0,.25
82160,43,24.58,635,3494,45.1,1995,1.524,3679.705,8.210588,6.453625,3021.972,7.997943,4,7.9914035,24.225,6.3592502,0,1,0,0,0,.25,.25,0,.25
82160,43,22.16,545,3337,52.4,1996,1.569,3413.566,8.135512,6.300786,3021.972,8.173755,4,7.9914035,24.225,6.3592502,0,0,1,0,0,.25,.25,0,.25
82160,43,27.26,517,3371,69,1998,1.63,3319.298,8.107509,6.248043,3021.972,8.125527,4,7.9914035,24.225,6.3592502,0,0,0,0,1,.25,.25,0,.25
63030,45,67.53,537,3393,41.4,1996,1.569,3470.851,8.152155,6.285998,3855.829,8.143671,3,8.2456951,68.246666,6.2925191,0,0,1,0,0,0,.33333333,.33333333,.33333333
63030,45,70.61,558,4063,30.6,1997,1.605,4063,8.309677,6.324359,3855.829,8.234015,3,8.2456951,68.246666,6.2925191,0,0,0,1,0,0,.33333333,.33333333,.33333333
63030,45,66.6,527,4547,39,1998,1.63,4477.261,8.406767,6.2672,3855.829,8.3594,3,8.2456951,68.246666,6.2925191,0,0,0,0,1,0,.33333333,.33333333,.33333333
46010,46,18.4,480,3033,36.6,1994,1.482,3284.727,8.097039,6.173786,3196.329,8.014738,5,8.0848709,22.266,6.1297618,1,0,0,0,0,.2,.2,.2,.2
46010,46,23.36,419,3343,56.6,1995,1.524,3520.679,8.166409,6.037871,3196.329,8.132325,5,8.0848709,22.266,6.1297618,0,1,0,0,0,.2,.2,.2,.2
46010,46,22.84,487,3110,48,1996,1.569,3181.358,8.065063,6.188264,3196.329,8.11702,5,8.0848709,22.266,6.1297618,0,0,1,0,0,.2,.2,.2,.2
46010,46,22.8,447,3312,75.8,1997,1.605,3312,8.105308,6.102559,3196.329,8.085388,5,8.0848709,22.266,6.1297618,0,0,0,1,0,.2,.2,.2,.2
46010,46,23.93,467,3162,77,1998,1.63,3113.503,8.043504,6.146329,3196.329,8.074883,5,8.0848709,22.266,6.1297618,0,0,0,0,1,.2,.2,.2,.2
41160,47,38.22,450,3310,67.3,1996,1.569,3385.947,8.127389,6.109248,3681.033,8.155894,3,8.1966585,54.329999,5.9444254,0,0,1,0,0,0,.33333333,.33333333,.33333333
41160,47,54.18,372,3722,47.5,1997,1.605,3722,8.222016,5.918894,3681.033,8.175821,3,8.1966585,54.329999,5.9444254,0,0,0,1,0,0,.33333333,.33333333,.33333333
41160,47,70.59,332,4059,91,1998,1.63,3996.745,8.293236,5.805135,3681.033,8.25826,3,8.1966585,54.329999,5.9444254,0,0,0,0,1,0,.33333333,.33333333,.33333333
82160,48,19.7,419,3116,40.6,1994,1.482,3374.615,8.124037,6.037871,3356.5,8.073196,4,8.138551,19.9275,5.9472421,1,0,0,0,0,.25,.25,0,.25
82160,48,20.06,393,3760,54.2,1995,1.524,3959.843,8.283959,5.97381,3356.5,8.207191,4,8.138551,19.9275,5.9472421,0,1,0,0,0,.25,.25,0,.25
82160,48,18.26,334,3415,53.8,1996,1.569,3493.356,8.158618,5.811141,3356.5,8.223251,4,8.138551,19.9275,5.9472421,0,0,1,0,0,.25,.25,0,.25
82160,48,21.69,390,3056,78,1998,1.63,3009.129,8.009406,5.966147,3356.5,8.050565,4,8.138551,19.9275,5.9472421,0,0,0,0,1,.25,.25,0,.25
50160,49,48.07,490,5789,57.4,1996,1.569,5921.827,8.6864,6.194406,5155.746,8.581101,3,8.6537507,45.136667,6.2527223,0,0,1,0,0,0,.33333333,.33333333,.33333333
50160,49,48.02,508,5934,55.3,1997,1.605,5934,8.688454,6.230482,5155.746,8.687428,3,8.6537507,45.136667,6.2527223,0,0,0,1,0,0,.33333333,.33333333,.33333333
50160,49,39.32,563,6078,60,1998,1.63,5984.779,8.696975,6.33328,5155.746,8.692723,3,8.6537507,45.136667,6.2527223,0,0,0,0,1,0,.33333333,.33333333,.33333333
41010,50,88.6,327,3681,11.1,1994,1.482,3986.508,8.290671,5.78996,3606.345,8.202608,5,8.2005896,87.456,5.7574006,1,0,0,0,0,.2,.2,.2,.2
41010,50,86.26,347,3410,29.1,1995,1.524,3591.24,8.186253,5.849325,3606.345,8.239824,5,8.2005896,87.456,5.7574006,0,1,0,0,0,.2,.2,.2,.2
41010,50,98.28,324,3389,22.2,1996,1.569,3466.759,8.150975,5.780744,3606.345,8.16877,5,8.2005896,87.456,5.7574006,0,0,1,0,0,.2,.2,.2,.2
41010,50,80.39,290,3758,52.4,1997,1.605,3758,8.231642,5.669881,3606.345,8.192122,5,8.2005896,87.456,5.7574006,0,0,0,1,0,.2,.2,.2,.2
41010,50,83.75,298,3576,46,1998,1.63,3521.153,8.166544,5.697093,3606.345,8.199623,5,8.2005896,87.456,5.7574006,0,0,0,0,1,.2,.2,.2,.2
41010,51,59.8,568,3100,24.7,1994,1.482,3357.287,8.118889,6.342122,3903.371,8.042854,5,8.2723017,63.895998,6.1816343,1,0,0,0,0,.2,.2,.2,.2
41010,51,64.31,515,3854,39.4,1995,1.524,4058.839,8.308652,6.244167,3903.371,8.218265,5,8.2723017,63.895998,6.1816343,0,1,0,0,0,.2,.2,.2,.2
41010,51,66.67,541,3797,39.6,1996,1.569,3884.121,8.264652,6.293419,3903.371,8.286894,5,8.2723017,63.895998,6.1816343,0,0,1,0,0,.2,.2,.2,.2
41010,51,61.14,443,4780,20,1997,1.605,4780,8.472196,6.09357,3903.371,8.373798,5,8.2723017,63.895998,6.1816343,0,0,0,1,0,.2,.2,.2,.2
41010,51,67.56,378,4544,38,1998,1.63,4474.307,8.406107,5.934894,3903.371,8.439697,5,8.2723017,63.895998,6.1816343,0,0,0,0,1,.2,.2,.2,.2
74030,53,36.5,353,3300,58,1994,1.482,3573.887,8.181409,5.866468,3791.412,8.154539,5,8.2451464,40.13,5.8457616,1,0,0,0,0,.2,.2,.2,.2
74030,53,41.97,350,3743,63.3,1995,1.524,3941.939,8.279428,5.857933,3791.412,8.231619,5,8.2451464,40.13,5.8457616,0,1,0,0,0,.2,.2,.2,.2
74030,53,40.36,331,3756,67.2,1996,1.569,3842.18,8.253796,5.802118,3791.412,8.266694,5,8.2451464,40.13,5.8457616,0,0,1,0,0,.2,.2,.2,.2
74030,53,41.57,332,4031,55.8,1997,1.605,4031,8.30177,5.805135,3791.412,8.27807,5,8.2451464,40.13,5.8457616,0,0,0,1,0,.2,.2,.2,.2
74030,53,40.25,364,4037,73,1998,1.63,3975.083,8.287801,5.897154,3791.412,8.294809,5,8.2451464,40.13,5.8457616,0,0,0,0,1,.2,.2,.2,.2
82100,64,5.2,587,2896,66.7,1994,1.482,3136.356,8.050817,6.375025,3173.201,8.076738,5,8.0549362,7.596,6.3656842,1,0,0,0,0,.2,.2,.2,.2
82100,64,9.71,555,3016,55.7,1995,1.524,3176.299,8.063472,6.318968,3173.201,8.057164,5,8.0549362,7.596,6.3656842,0,1,0,0,0,.2,.2,.2,.2
82100,64,6.99,615,2899,65.4,1996,1.569,2965.516,7.994806,6.421622,3173.201,8.029729,5,8.0549362,7.596,6.3656842,0,0,1,0,0,.2,.2,.2,.2
82100,64,7.28,596,3183,60.8,1997,1.605,3183,8.065579,6.390241,3173.201,8.030819,5,8.0549362,7.596,6.3656842,0,0,0,1,0,.2,.2,.2,.2
82100,64,8.8,557,3328,78,1998,1.63,3276.957,8.09467,6.322565,3173.201,8.080231,5,8.0549362,7.596,6.3656842,0,0,0,0,1,.2,.2,.2,.2
33020,67,90,389,3062,19.6,1994,1.482,3316.134,8.106555,5.963579,4013.41,8.08479,5,8.2968895,89.489999,5.8795466,1,0,0,0,0,.2,.2,.2,.2
33020,67,85.93,371,4028,32.7,1995,1.524,4242.087,8.352811,5.916202,4013.41,8.237244,5,8.2968895,89.489999,5.8795466,0,1,0,0,0,.2,.2,.2,.2
33020,67,94.97,384,3868,49,1996,1.569,3956.75,8.283178,5.950643,4013.41,8.318601,5,8.2968895,89.489999,5.8795466,0,0,1,0,0,.2,.2,.2,.2
33020,67,85.95,331,4843,30,1997,1.605,4843,8.48529,5.802118,4013.41,8.389332,5,8.2968895,89.489999,5.8795466,0,0,0,1,0,.2,.2,.2,.2
33020,67,90.6,319,4620,62,1998,1.63,4549.141,8.422693,5.765191,4013.41,8.454481,5,8.2968895,89.489999,5.8795466,0,0,0,0,1,.2,.2,.2,.2
70040,69,15.2,653,2947,58.5,1994,1.482,3191.589,8.068274,6.481577,3253.997,8.018248,5,8.1298938,16.03,6.5623222,1,0,0,0,0,.2,.2,.2,.2
70040,69,15.83,698,3557,74.1,1995,1.524,3746.053,8.228458,6.548219,3253.997,8.15157,5,8.1298938,16.03,6.5623222,0,1,0,0,0,.2,.2,.2,.2
70040,69,15.76,725,3806,64.8,1996,1.569,3893.327,8.267019,6.586172,3253.997,8.247925,5,8.1298938,16.03,6.5623222,0,0,1,0,0,.2,.2,.2,.2
70040,69,16.05,736,3816,75.5,1997,1.605,3816,8.246958,6.60123,3253.997,8.257039,5,8.1298938,16.03,6.5623222,0,0,0,1,0,.2,.2,.2,.2
70040,69,17.31,731,2028,86,1998,1.63,1996.896,7.599349,6.594413,3253.997,7.974687,5,8.1298938,16.03,6.5623222,0,0,0,0,1,.2,.2,.2,.2
44020,74,14.18,836,2971,60.7,1996,1.569,3039.168,8.01934,6.728629,2998.115,8.047394,3,8.0385024,12.66,6.7388781,0,0,1,0,0,0,.33333333,.33333333,.33333333
44020,74,12.38,840,3132,67.5,1997,1.605,3132,8.049427,6.733402,2998.115,8.034496,3,8.0385024,12.66,6.7388781,0,0,0,1,0,0,.33333333,.33333333,.33333333
44020,74,11.42,858,3081,71,1998,1.63,3033.745,8.017553,6.754604,2998.115,8.033617,3,8.0385024,12.66,6.7388781,0,0,0,0,1,0,.33333333,.33333333,.33333333
41170,76,15.21,401,3481,84.1,1996,1.569,3560.87,8.17776,5.993961,3395.533,8.154699,3,8.1961412,16.09,5.9963347,0,0,1,0,0,0,.33333333,.33333333,.33333333
41170,76,15.5,395,3794,82,1997,1.605,3794,8.241177,5.978886,3395.533,8.20997,3,8.1961412,16.09,5.9963347,0,0,0,1,0,0,.33333333,.33333333,.33333333
41170,76,17.56,410,3720,95,1998,1.63,3662.945,8.206022,6.016157,3395.533,8.223754,3,8.1961412,16.09,5.9963347,0,0,0,0,1,0,.33333333,.33333333,.33333333
8030,77,26.9,434,2963,42.9,1994,1.482,3208.917,8.073689,6.073044,3507.453,7.949848,5,8.1750873,27.54,6.0321131,1,0,0,0,0,.2,.2,.2,.2
8030,77,28.13,422,3593,78.7,1995,1.524,3783.967,8.238528,6.045005,3507.453,8.159501,5,8.1750873,27.54,6.0321131,0,1,0,0,0,.2,.2,.2,.2
8030,77,26.34,413,3696,71.6,1996,1.569,3780.803,8.237692,6.023448,3507.453,8.23811,5,8.1750873,27.54,6.0321131,0,0,1,0,0,.2,.2,.2,.2
8030,77,27.65,432,3936,79.7,1997,1.605,3936,8.277921,6.068426,3507.453,8.258008,5,8.1750873,27.54,6.0321131,0,0,0,1,0,.2,.2,.2,.2
8030,77,28.68,384,3934,85,1998,1.63,3873.663,8.261956,5.950643,3507.453,8.26997,5,8.1750873,27.54,6.0321131,0,0,0,0,1,.2,.2,.2,.2
50030,78,33.2,446,3033,53.8,1994,1.482,3284.727,8.097039,6.100319,3474.881,8.049378,5,8.1612349,28.482,6.0308398,1,0,0,0,0,.2,.2,.2,.2
50030,78,33.33,429,3540,85.7,1995,1.524,3728.15,8.223667,6.061457,3474.881,8.162356,5,8.1612349,28.482,6.0308398,0,1,0,0,0,.2,.2,.2,.2
50030,78,26.56,433,3314,91.4,1996,1.569,3390.039,8.128596,6.070738,3474.881,8.177261,5,8.1612349,28.482,6.0308398,0,0,1,0,0,.2,.2,.2,.2
50030,78,23.5,381,3834,78,1997,1.605,3834,8.251664,5.9428,3474.881,8.192022,5,8.1612349,28.482,6.0308398,0,0,0,1,0,.2,.2,.2,.2
50030,78,25.82,395,3690,81,1998,1.63,3633.405,8.197926,5.978886,3474.881,8.225156,5,8.1612349,28.482,6.0308398,0,0,0,0,1,.2,.2,.2,.2
70190,79,5.2,457,2238,81.7,1994,1.482,2423.745,7.793069,6.124683,2615.964,7.780125,3,7.8816195,4.5066666,6.2303267,1,0,0,0,0,.33333333,.33333333,0,0
70190,79,3.41,530,2890,90.9,1995,1.524,3043.603,8.020797,6.272877,2615.964,7.913402,3,7.8816195,4.5066666,6.2303267,0,1,0,0,0,.33333333,.33333333,0,0
70190,79,4.91,541,2576,96.2,1996,1.569,2635.105,7.876678,6.293419,2615.964,7.951332,3,7.8816195,4.5066666,6.2303267,0,0,1,0,0,.33333333,.33333333,0,0
39140,81,7.2,825,2482,72.2,1994,1.482,2687.996,7.896551,6.715384,3249.188,7.899227,5,8.0798486,10.498,6.5544259,1,0,0,0,0,.2,.2,.2,.2
39140,81,9.77,666,3213,78,1995,1.524,3383.77,8.126745,6.50129,3249.188,8.018257,5,8.0798486,10.498,6.5544259,0,1,0,0,0,.2,.2,.2,.2
39140,81,12.35,681,3282,81.2,1996,1.569,3357.304,8.118894,6.523562,3249.188,8.122828,5,8.0798486,10.498,6.5544259,0,0,1,0,0,.2,.2,.2,.2
39140,81,12.35,691,3554,84.6,1997,1.605,3554,8.175829,6.53814,3249.188,8.147766,5,8.0798486,10.498,6.5544259,0,0,0,1,0,.2,.2,.2,.2
39140,81,10.82,661,3869,83,1998,1.63,3809.659,8.245296,6.493754,3249.188,8.211165,5,8.0798486,10.498,6.5544259,0,0,0,0,1,.2,.2,.2,.2
82390,83,.8,588,3361,78,1994,1.482,3639.949,8.199725,6.376727,3853.206,8.165253,5,8.2621664,.86400001,6.2675087,1,0,0,0,0,.2,.2,.2,.2
82390,83,1.35,518,3859,77.4,1995,1.524,4064.104,8.309949,6.249975,3853.206,8.256354,5,8.2621664,.86400001,6.2675087,0,1,0,0,0,.2,.2,.2,.2
82390,83,.39,518,3923,90.1,1996,1.569,4013.012,8.297297,6.249975,3853.206,8.303643,5,8.2621664,.86400001,6.2675087,0,0,1,0,0,.2,.2,.2,.2
82390,83,1.19,503,3958,91.3,1997,1.605,3958,8.283494,6.22059,3853.206,8.29042,5,8.2621664,.86400001,6.2675087,0,0,0,1,0,.2,.2,.2,.2
82390,83,.59,513,4114,96,1998,1.63,4050.902,8.306695,6.240276,3853.206,8.295162,5,8.2621664,.86400001,6.2675087,0,0,0,0,1,.2,.2,.2,.2
25010,94,46.5,70,13581,23.9,1994,1.482,14708.17,9.596158,4.248495,6012.842,9.074934,3,8.6050173,57.080001,5.3338989,1,0,0,0,0,0,0,.33333333,.33333333
25010,94,63.34,374,4690,44.7,1997,1.605,4690,8.453188,5.924256,6012.842,8.31796,3,8.6050173,57.080001,5.3338989,0,0,0,1,0,0,0,.33333333,.33333333
25010,94,61.4,340,4472,38,1998,1.63,4403.411,8.390135,5.828946,6012.842,8.422158,3,8.6050173,57.080001,5.3338989,0,0,0,0,1,0,0,.33333333,.33333333
63190,95,18.6,398,3238,48.2,1994,1.482,3506.741,8.162442,5.986452,3928.133,7.979023,5,8.2894289,13.722,5.9686597,1,0,0,0,0,.2,.2,.2,.2
63190,95,15.19,319,4108,52.9,1995,1.524,4326.339,8.372477,5.765191,3928.133,8.272964,5,8.2894289,13.722,5.9686597,0,1,0,0,0,.2,.2,.2,.2
63190,95,14.24,361,4503,80.9,1996,1.569,4606.32,8.435184,5.888878,3928.133,8.404322,5,8.2894289,13.722,5.9686597,0,0,1,0,0,.2,.2,.2,.2
63190,95,11.05,451,4303,72.5,1997,1.605,4303,8.367067,6.111467,3928.133,8.401706,5,8.2894289,13.722,5.9686597,0,0,0,1,0,.2,.2,.2,.2
63190,95,9.53,442,4565,87,1998,1.63,4494.985,8.410718,6.09131,3928.133,8.389131,5,8.2894289,13.722,5.9686597,0,0,0,0,1,.2,.2,.2,.2
63020,96,38.57,293,3810,97.6,1996,1.569,3897.419,8.26807,5.680172,5708.653,8.531144,3,8.6552626,40.579999,5.65519,0,0,1,0,0,0,.33333333,.33333333,.33333333
63020,96,38.64,295,6617,66.7,1997,1.605,6617,8.797398,5.686975,5708.653,8.567356,3,8.6552626,40.579999,5.65519,0,0,0,1,0,0,.33333333,.33333333,.33333333
63020,96,44.53,270,7693,90,1998,1.63,7575.009,8.93261,5.598422,5708.653,8.867288,3,8.6552626,40.579999,5.65519,0,0,0,0,1,0,.33333333,.33333333,.33333333
61010,98,89.3,562,2755,6.5,1994,1.482,2983.654,8.000904,6.331502,3968.621,8.075447,5,8.2856741,91.652,6.1795845,1,0,0,0,0,.2,.2,.2,.2
61010,98,89.2,507,4209,34.6,1995,1.524,4432.707,8.396766,6.228511,3968.621,8.218297,5,8.2856741,91.652,6.1795845,0,1,0,0,0,.2,.2,.2,.2
61010,98,95.32,489,4171,3.3,1996,1.569,4266.702,8.358597,6.192362,3968.621,8.377863,5,8.2856741,91.652,6.1795845,0,0,1,0,0,.2,.2,.2,.2
61010,98,92.5,473,4458,25.9,1997,1.605,4458,8.402455,6.159095,3968.621,8.380767,5,8.2856741,91.652,6.1795845,0,0,0,1,0,.2,.2,.2,.2
61010,98,91.94,398,4291,56,1998,1.63,4225.187,8.348819,5.986452,3968.621,8.375997,5,8.2856741,91.652,6.1795845,0,0,0,0,1,.2,.2,.2,.2
81010,99,22.6,285,2729,84.4,1994,1.482,2955.496,7.991422,5.652489,4580.017,8.107686,5,8.4301197,23.708,5.7022171,1,0,0,0,0,.2,.2,.2,.2
81010,99,27.11,277,5563,84.4,1995,1.524,5858.671,8.675678,5.624018,4580.017,8.390968,5,8.4301197,23.708,5.7022171,0,1,0,0,0,.2,.2,.2,.2
81010,99,23.9,309,4887,83.7,1996,1.569,4999.13,8.517019,5.733341,4580.017,8.599492,5,8.4301197,23.708,5.7022171,0,0,1,0,0,.2,.2,.2,.2
81010,99,23.94,306,5201,90.6,1997,1.605,5201,8.556606,5.723585,4580.017,8.537008,5,8.4301197,23.708,5.7022171,0,0,0,1,0,.2,.2,.2,.2
81010,99,20.99,323,4856,85,1998,1.63,4781.521,8.472514,5.777652,4580.017,8.515444,5,8.4301197,23.708,5.7022171,0,0,0,0,1,.2,.2,.2,.2
39140,100,4.3,537,2661,70.3,1994,1.482,2881.852,7.966188,6.285998,3371.95,7.949366,5,8.1264668,6.2840001,6.2156296,1,0,0,0,0,.2,.2,.2,.2
39140,100,8.01,473,3547,81.3,1995,1.524,3735.522,8.225643,6.159095,3371.95,8.104307,5,8.1264668,6.2840001,6.2156296,0,1,0,0,0,.2,.2,.2,.2
39140,100,5.6,503,3411,79.7,1996,1.569,3489.264,8.157446,6.22059,3371.95,8.192125,5,8.1264668,6.2840001,6.2156296,0,0,1,0,0,.2,.2,.2,.2
